image_id,filename,relative_path,orig_split,width,height,mode,dominant_class_id,class_name,waste_stream
1156,img_1156.png,data\DSWD\DSWD\Train\Image\img_1156.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1158,img_1158.png,data\DSWD\DSWD\Train\Image\img_1158.png,Train,448,448,RGB,3,Thermocol,Plastic
1170,img_1170.png,data\DSWD\DSWD\Train\Image\img_1170.png,Train,448,448,RGB,3,Thermocol,Plastic
1176,img_1176.png,data\DSWD\DSWD\Train\Image\img_1176.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1183,img_1183.png,data\DSWD\DSWD\Train\Image\img_1183.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1191,img_1191.png,data\DSWD\DSWD\Train\Image\img_1191.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
120,img_120.png,data\DSWD\DSWD\Train\Image\img_120.png,Train,448,448,RGB,0,Other,Other
1200,img_1200.png,data\DSWD\DSWD\Train\Image\img_1200.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1210,img_1210.png,data\DSWD\DSWD\Train\Image\img_1210.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1221,img_1221.png,data\DSWD\DSWD\Train\Image\img_1221.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1233,img_1233.png,data\DSWD\DSWD\Train\Image\img_1233.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1246,img_1246.png,data\DSWD\DSWD\Train\Image\img_1246.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
126,img_126.png,data\DSWD\DSWD\Train\Image\img_126.png,Train,448,448,RGB,0,Other,Other
1263,img_1263.png,data\DSWD\DSWD\Train\Image\img_1263.png,Train,448,448,RGB,3,Thermocol,Plastic
1266,img_1266.png,data\DSWD\DSWD\Train\Image\img_1266.png,Train,448,448,RGB,0,Other,Other
1270,img_1270.png,data\DSWD\DSWD\Train\Image\img_1270.png,Train,448,448,RGB,3,Thermocol,Plastic
1275,img_1275.png,data\DSWD\DSWD\Train\Image\img_1275.png,Train,448,448,RGB,3,Thermocol,Plastic
1281,img_1281.png,data\DSWD\DSWD\Train\Image\img_1281.png,Train,448,448,RGB,3,Thermocol,Plastic
1288,img_1288.png,data\DSWD\DSWD\Train\Image\img_1288.png,Train,448,448,RGB,3,Thermocol,Plastic
1296,img_1296.png,data\DSWD\DSWD\Train\Image\img_1296.png,Train,448,448,RGB,3,Thermocol,Plastic
1305,img_1305.png,data\DSWD\DSWD\Train\Image\img_1305.png,Train,448,448,RGB,3,Thermocol,Plastic
1315,img_1315.png,data\DSWD\DSWD\Train\Image\img_1315.png,Train,448,448,RGB,3,Thermocol,Plastic
133,img_133.png,data\DSWD\DSWD\Train\Image\img_133.png,Train,448,448,RGB,3,Thermocol,Plastic
1351,img_1351.png,data\DSWD\DSWD\Train\Image\img_1351.png,Train,448,448,RGB,3,Thermocol,Plastic
1365,img_1365.png,data\DSWD\DSWD\Train\Image\img_1365.png,Train,448,448,RGB,3,Thermocol,Plastic
1366,img_1366.png,data\DSWD\DSWD\Train\Image\img_1366.png,Train,448,448,RGB,0,Other,Other
1368,img_1368.png,data\DSWD\DSWD\Train\Image\img_1368.png,Train,448,448,RGB,3,Thermocol,Plastic
1371,img_1371.png,data\DSWD\DSWD\Train\Image\img_1371.png,Train,448,448,RGB,3,Thermocol,Plastic
1375,img_1375.png,data\DSWD\DSWD\Train\Image\img_1375.png,Train,448,448,RGB,3,Thermocol,Plastic
1380,img_1380.png,data\DSWD\DSWD\Train\Image\img_1380.png,Train,448,448,RGB,0,Other,Other
1386,img_1386.png,data\DSWD\DSWD\Train\Image\img_1386.png,Train,448,448,RGB,0,Other,Other
1393,img_1393.png,data\DSWD\DSWD\Train\Image\img_1393.png,Train,448,448,RGB,0,Other,Other
141,img_141.png,data\DSWD\DSWD\Train\Image\img_141.png,Train,448,448,RGB,0,Other,Other
1420,img_1420.png,data\DSWD\DSWD\Train\Image\img_1420.png,Train,448,448,RGB,3,Thermocol,Plastic
1431,img_1431.png,data\DSWD\DSWD\Train\Image\img_1431.png,Train,448,448,RGB,0,Other,Other
1443,img_1443.png,data\DSWD\DSWD\Train\Image\img_1443.png,Train,448,448,RGB,0,Other,Other
1456,img_1456.png,data\DSWD\DSWD\Train\Image\img_1456.png,Train,448,448,RGB,0,Other,Other
1470,img_1470.png,data\DSWD\DSWD\Train\Image\img_1470.png,Train,448,448,RGB,0,Other,Other
1471,img_1471.png,data\DSWD\DSWD\Train\Image\img_1471.png,Train,448,448,RGB,0,Other,Other
1473,img_1473.png,data\DSWD\DSWD\Train\Image\img_1473.png,Train,448,448,RGB,0,Other,Other
1476,img_1476.png,data\DSWD\DSWD\Train\Image\img_1476.png,Train,448,448,RGB,0,Other,Other
1480,img_1480.png,data\DSWD\DSWD\Train\Image\img_1480.png,Train,448,448,RGB,0,Other,Other
1498,img_1498.png,data\DSWD\DSWD\Train\Image\img_1498.png,Train,448,448,RGB,0,Other,Other
150,img_150.png,data\DSWD\DSWD\Train\Image\img_150.png,Train,448,448,RGB,0,Other,Other
1506,img_1506.png,data\DSWD\DSWD\Train\Image\img_1506.png,Train,448,448,RGB,0,Other,Other
1515,img_1515.png,data\DSWD\DSWD\Train\Image\img_1515.png,Train,448,448,RGB,0,Other,Other
1525,img_1525.png,data\DSWD\DSWD\Train\Image\img_1525.png,Train,448,448,RGB,0,Other,Other
1536,img_1536.png,data\DSWD\DSWD\Train\Image\img_1536.png,Train,448,448,RGB,0,Other,Other
1548,img_1548.png,data\DSWD\DSWD\Train\Image\img_1548.png,Train,448,448,RGB,0,Other,Other
1561,img_1561.png,data\DSWD\DSWD\Train\Image\img_1561.png,Train,448,448,RGB,0,Other,Other
1575,img_1575.png,data\DSWD\DSWD\Train\Image\img_1575.png,Train,448,448,RGB,3,Thermocol,Plastic
1576,img_1576.png,data\DSWD\DSWD\Train\Image\img_1576.png,Train,448,448,RGB,3,Thermocol,Plastic
1585,img_1585.png,data\DSWD\DSWD\Train\Image\img_1585.png,Train,448,448,RGB,0,Other,Other
1590,img_1590.png,data\DSWD\DSWD\Train\Image\img_1590.png,Train,448,448,RGB,3,Thermocol,Plastic
1596,img_1596.png,data\DSWD\DSWD\Train\Image\img_1596.png,Train,448,448,RGB,3,Thermocol,Plastic
160,img_160.png,data\DSWD\DSWD\Train\Image\img_160.png,Train,448,448,RGB,0,Other,Other
1603,img_1603.png,data\DSWD\DSWD\Train\Image\img_1603.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1611,img_1611.png,data\DSWD\DSWD\Train\Image\img_1611.png,Train,448,448,RGB,3,Thermocol,Plastic
1620,img_1620.png,data\DSWD\DSWD\Train\Image\img_1620.png,Train,448,448,RGB,0,Other,Other
1630,img_1630.png,data\DSWD\DSWD\Train\Image\img_1630.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1641,img_1641.png,data\DSWD\DSWD\Train\Image\img_1641.png,Train,448,448,RGB,3,Thermocol,Plastic
1653,img_1653.png,data\DSWD\DSWD\Train\Image\img_1653.png,Train,448,448,RGB,3,Thermocol,Plastic
1681,img_1681.png,data\DSWD\DSWD\Train\Image\img_1681.png,Train,448,448,RGB,0,Other,Other
1683,img_1683.png,data\DSWD\DSWD\Train\Image\img_1683.png,Train,448,448,RGB,0,Other,Other
1686,img_1686.png,data\DSWD\DSWD\Train\Image\img_1686.png,Train,448,448,RGB,3,Thermocol,Plastic
1690,img_1690.png,data\DSWD\DSWD\Train\Image\img_1690.png,Train,448,448,RGB,0,Other,Other
1695,img_1695.png,data\DSWD\DSWD\Train\Image\img_1695.png,Train,448,448,RGB,3,Thermocol,Plastic
1701,img_1701.png,data\DSWD\DSWD\Train\Image\img_1701.png,Train,448,448,RGB,3,Thermocol,Plastic
1708,img_1708.png,data\DSWD\DSWD\Train\Image\img_1708.png,Train,448,448,RGB,3,Thermocol,Plastic
1716,img_1716.png,data\DSWD\DSWD\Train\Image\img_1716.png,Train,448,448,RGB,3,Thermocol,Plastic
1725,img_1725.png,data\DSWD\DSWD\Train\Image\img_1725.png,Train,448,448,RGB,3,Thermocol,Plastic
1758,img_1758.png,data\DSWD\DSWD\Train\Image\img_1758.png,Train,448,448,RGB,3,Thermocol,Plastic
1771,img_1771.png,data\DSWD\DSWD\Train\Image\img_1771.png,Train,448,448,RGB,3,Thermocol,Plastic
1785,img_1785.png,data\DSWD\DSWD\Train\Image\img_1785.png,Train,448,448,RGB,3,Thermocol,Plastic
1786,img_1786.png,data\DSWD\DSWD\Train\Image\img_1786.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1788,img_1788.png,data\DSWD\DSWD\Train\Image\img_1788.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1791,img_1791.png,data\DSWD\DSWD\Train\Image\img_1791.png,Train,448,448,RGB,3,Thermocol,Plastic
1795,img_1795.png,data\DSWD\DSWD\Train\Image\img_1795.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1800,img_1800.png,data\DSWD\DSWD\Train\Image\img_1800.png,Train,448,448,RGB,3,Thermocol,Plastic
1806,img_1806.png,data\DSWD\DSWD\Train\Image\img_1806.png,Train,448,448,RGB,0,Other,Other
1830,img_1830.png,data\DSWD\DSWD\Train\Image\img_1830.png,Train,448,448,RGB,3,Thermocol,Plastic
1840,img_1840.png,data\DSWD\DSWD\Train\Image\img_1840.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1851,img_1851.png,data\DSWD\DSWD\Train\Image\img_1851.png,Train,448,448,RGB,3,Thermocol,Plastic
1863,img_1863.png,data\DSWD\DSWD\Train\Image\img_1863.png,Train,448,448,RGB,3,Thermocol,Plastic
1876,img_1876.png,data\DSWD\DSWD\Train\Image\img_1876.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1890,img_1890.png,data\DSWD\DSWD\Train\Image\img_1890.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1891,img_1891.png,data\DSWD\DSWD\Train\Image\img_1891.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1893,img_1893.png,data\DSWD\DSWD\Train\Image\img_1893.png,Train,448,448,RGB,3,Thermocol,Plastic
1896,img_1896.png,data\DSWD\DSWD\Train\Image\img_1896.png,Train,448,448,RGB,3,Thermocol,Plastic
1911,img_1911.png,data\DSWD\DSWD\Train\Image\img_1911.png,Train,448,448,RGB,3,Thermocol,Plastic
1918,img_1918.png,data\DSWD\DSWD\Train\Image\img_1918.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
1926,img_1926.png,data\DSWD\DSWD\Train\Image\img_1926.png,Train,448,448,RGB,10,Plastic cup,Plastic
1935,img_1935.png,data\DSWD\DSWD\Train\Image\img_1935.png,Train,448,448,RGB,3,Thermocol,Plastic
1945,img_1945.png,data\DSWD\DSWD\Train\Image\img_1945.png,Train,448,448,RGB,10,Plastic cup,Plastic
1956,img_1956.png,data\DSWD\DSWD\Train\Image\img_1956.png,Train,448,448,RGB,3,Thermocol,Plastic
196,img_196.png,data\DSWD\DSWD\Train\Image\img_196.png,Train,448,448,RGB,12,Aluminium foil,Metal
1968,img_1968.png,data\DSWD\DSWD\Train\Image\img_1968.png,Train,448,448,RGB,12,Aluminium foil,Metal
1981,img_1981.png,data\DSWD\DSWD\Train\Image\img_1981.png,Train,448,448,RGB,12,Aluminium foil,Metal
1995,img_1995.png,data\DSWD\DSWD\Train\Image\img_1995.png,Train,448,448,RGB,0,Other,Other
2001,img_2001.png,data\DSWD\DSWD\Train\Image\img_2001.png,Train,448,448,RGB,0,Other,Other
2005,img_2005.png,data\DSWD\DSWD\Train\Image\img_2005.png,Train,448,448,RGB,0,Other,Other
2010,img_2010.png,data\DSWD\DSWD\Train\Image\img_2010.png,Train,448,448,RGB,0,Other,Other
2016,img_2016.png,data\DSWD\DSWD\Train\Image\img_2016.png,Train,448,448,RGB,0,Other,Other
2023,img_2023.png,data\DSWD\DSWD\Train\Image\img_2023.png,Train,448,448,RGB,0,Other,Other
2031,img_2031.png,data\DSWD\DSWD\Train\Image\img_2031.png,Train,448,448,RGB,0,Other,Other
2040,img_2040.png,data\DSWD\DSWD\Train\Image\img_2040.png,Train,448,448,RGB,0,Other,Other
2050,img_2050.png,data\DSWD\DSWD\Train\Image\img_2050.png,Train,448,448,RGB,0,Other,Other
2061,img_2061.png,data\DSWD\DSWD\Train\Image\img_2061.png,Train,448,448,RGB,0,Other,Other
210,img_210.png,data\DSWD\DSWD\Train\Image\img_210.png,Train,448,448,RGB,3,Thermocol,Plastic
2100,img_2100.png,data\DSWD\DSWD\Train\Image\img_2100.png,Train,448,448,RGB,3,Thermocol,Plastic
2101,img_2101.png,data\DSWD\DSWD\Train\Image\img_2101.png,Train,448,448,RGB,0,Other,Other
2103,img_2103.png,data\DSWD\DSWD\Train\Image\img_2103.png,Train,448,448,RGB,3,Thermocol,Plastic
2106,img_2106.png,data\DSWD\DSWD\Train\Image\img_2106.png,Train,448,448,RGB,0,Other,Other
211,img_211.png,data\DSWD\DSWD\Train\Image\img_211.png,Train,448,448,RGB,3,Thermocol,Plastic
2110,img_2110.png,data\DSWD\DSWD\Train\Image\img_2110.png,Train,448,448,RGB,0,Other,Other
2115,img_2115.png,data\DSWD\DSWD\Train\Image\img_2115.png,Train,448,448,RGB,0,Other,Other
2121,img_2121.png,data\DSWD\DSWD\Train\Image\img_2121.png,Train,448,448,RGB,0,Other,Other
2128,img_2128.png,data\DSWD\DSWD\Train\Image\img_2128.png,Train,448,448,RGB,3,Thermocol,Plastic
213,img_213.png,data\DSWD\DSWD\Train\Image\img_213.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2136,img_2136.png,data\DSWD\DSWD\Train\Image\img_2136.png,Train,448,448,RGB,3,Thermocol,Plastic
216,img_216.png,data\DSWD\DSWD\Train\Image\img_216.png,Train,448,448,RGB,3,Thermocol,Plastic
2166,img_2166.png,data\DSWD\DSWD\Train\Image\img_2166.png,Train,448,448,RGB,0,Other,Other
2178,img_2178.png,data\DSWD\DSWD\Train\Image\img_2178.png,Train,448,448,RGB,0,Other,Other
2191,img_2191.png,data\DSWD\DSWD\Train\Image\img_2191.png,Train,448,448,RGB,3,Thermocol,Plastic
220,img_220.png,data\DSWD\DSWD\Train\Image\img_220.png,Train,448,448,RGB,3,Thermocol,Plastic
2205,img_2205.png,data\DSWD\DSWD\Train\Image\img_2205.png,Train,448,448,RGB,0,Other,Other
2206,img_2206.png,data\DSWD\DSWD\Train\Image\img_2206.png,Train,448,448,RGB,0,Other,Other
2208,img_2208.png,data\DSWD\DSWD\Train\Image\img_2208.png,Train,448,448,RGB,3,Thermocol,Plastic
2211,img_2211.png,data\DSWD\DSWD\Train\Image\img_2211.png,Train,448,448,RGB,0,Other,Other
2215,img_2215.png,data\DSWD\DSWD\Train\Image\img_2215.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2220,img_2220.png,data\DSWD\DSWD\Train\Image\img_2220.png,Train,448,448,RGB,12,Aluminium foil,Metal
2241,img_2241.png,data\DSWD\DSWD\Train\Image\img_2241.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
225,img_225.png,data\DSWD\DSWD\Train\Image\img_225.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2250,img_2250.png,data\DSWD\DSWD\Train\Image\img_2250.png,Train,448,448,RGB,12,Aluminium foil,Metal
2260,img_2260.png,data\DSWD\DSWD\Train\Image\img_2260.png,Train,448,448,RGB,0,Other,Other
2271,img_2271.png,data\DSWD\DSWD\Train\Image\img_2271.png,Train,448,448,RGB,0,Other,Other
2283,img_2283.png,data\DSWD\DSWD\Train\Image\img_2283.png,Train,448,448,RGB,0,Other,Other
2296,img_2296.png,data\DSWD\DSWD\Train\Image\img_2296.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
231,img_231.png,data\DSWD\DSWD\Train\Image\img_231.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2310,img_2310.png,data\DSWD\DSWD\Train\Image\img_2310.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2311,img_2311.png,data\DSWD\DSWD\Train\Image\img_2311.png,Train,448,448,RGB,0,Other,Other
2313,img_2313.png,data\DSWD\DSWD\Train\Image\img_2313.png,Train,448,448,RGB,0,Other,Other
2325,img_2325.png,data\DSWD\DSWD\Train\Image\img_2325.png,Train,448,448,RGB,0,Other,Other
2331,img_2331.png,data\DSWD\DSWD\Train\Image\img_2331.png,Train,448,448,RGB,0,Other,Other
2338,img_2338.png,data\DSWD\DSWD\Train\Image\img_2338.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2346,img_2346.png,data\DSWD\DSWD\Train\Image\img_2346.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2355,img_2355.png,data\DSWD\DSWD\Train\Image\img_2355.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2365,img_2365.png,data\DSWD\DSWD\Train\Image\img_2365.png,Train,448,448,RGB,0,Other,Other
2376,img_2376.png,data\DSWD\DSWD\Train\Image\img_2376.png,Train,448,448,RGB,0,Other,Other
238,img_238.png,data\DSWD\DSWD\Train\Image\img_238.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2388,img_2388.png,data\DSWD\DSWD\Train\Image\img_2388.png,Train,448,448,RGB,0,Other,Other
2401,img_2401.png,data\DSWD\DSWD\Train\Image\img_2401.png,Train,448,448,RGB,0,Other,Other
2418,img_2418.png,data\DSWD\DSWD\Train\Image\img_2418.png,Train,448,448,RGB,3,Thermocol,Plastic
2421,img_2421.png,data\DSWD\DSWD\Train\Image\img_2421.png,Train,448,448,RGB,3,Thermocol,Plastic
2425,img_2425.png,data\DSWD\DSWD\Train\Image\img_2425.png,Train,448,448,RGB,3,Thermocol,Plastic
2430,img_2430.png,data\DSWD\DSWD\Train\Image\img_2430.png,Train,448,448,RGB,3,Thermocol,Plastic
2436,img_2436.png,data\DSWD\DSWD\Train\Image\img_2436.png,Train,448,448,RGB,3,Thermocol,Plastic
2443,img_2443.png,data\DSWD\DSWD\Train\Image\img_2443.png,Train,448,448,RGB,3,Thermocol,Plastic
2451,img_2451.png,data\DSWD\DSWD\Train\Image\img_2451.png,Train,448,448,RGB,3,Thermocol,Plastic
2460,img_2460.png,data\DSWD\DSWD\Train\Image\img_2460.png,Train,448,448,RGB,3,Thermocol,Plastic
2470,img_2470.png,data\DSWD\DSWD\Train\Image\img_2470.png,Train,448,448,RGB,3,Thermocol,Plastic
2506,img_2506.png,data\DSWD\DSWD\Train\Image\img_2506.png,Train,448,448,RGB,3,Thermocol,Plastic
2520,img_2520.png,data\DSWD\DSWD\Train\Image\img_2520.png,Train,448,448,RGB,0,Other,Other
2521,img_2521.png,data\DSWD\DSWD\Train\Image\img_2521.png,Train,448,448,RGB,0,Other,Other
2523,img_2523.png,data\DSWD\DSWD\Train\Image\img_2523.png,Train,448,448,RGB,0,Other,Other
2526,img_2526.png,data\DSWD\DSWD\Train\Image\img_2526.png,Train,448,448,RGB,0,Other,Other
2530,img_2530.png,data\DSWD\DSWD\Train\Image\img_2530.png,Train,448,448,RGB,0,Other,Other
2535,img_2535.png,data\DSWD\DSWD\Train\Image\img_2535.png,Train,448,448,RGB,0,Other,Other
2541,img_2541.png,data\DSWD\DSWD\Train\Image\img_2541.png,Train,448,448,RGB,0,Other,Other
2548,img_2548.png,data\DSWD\DSWD\Train\Image\img_2548.png,Train,448,448,RGB,0,Other,Other
2575,img_2575.png,data\DSWD\DSWD\Train\Image\img_2575.png,Train,448,448,RGB,0,Other,Other
2586,img_2586.png,data\DSWD\DSWD\Train\Image\img_2586.png,Train,448,448,RGB,0,Other,Other
2598,img_2598.png,data\DSWD\DSWD\Train\Image\img_2598.png,Train,448,448,RGB,0,Other,Other
2611,img_2611.png,data\DSWD\DSWD\Train\Image\img_2611.png,Train,448,448,RGB,0,Other,Other
2625,img_2625.png,data\DSWD\DSWD\Train\Image\img_2625.png,Train,448,448,RGB,6,Glass,Glass
2626,img_2626.png,data\DSWD\DSWD\Train\Image\img_2626.png,Train,448,448,RGB,12,Aluminium foil,Metal
2628,img_2628.png,data\DSWD\DSWD\Train\Image\img_2628.png,Train,448,448,RGB,3,Thermocol,Plastic
2631,img_2631.png,data\DSWD\DSWD\Train\Image\img_2631.png,Train,448,448,RGB,3,Thermocol,Plastic
2635,img_2635.png,data\DSWD\DSWD\Train\Image\img_2635.png,Train,448,448,RGB,3,Thermocol,Plastic
265,img_265.png,data\DSWD\DSWD\Train\Image\img_265.png,Train,448,448,RGB,3,Thermocol,Plastic
2653,img_2653.png,data\DSWD\DSWD\Train\Image\img_2653.png,Train,448,448,RGB,3,Thermocol,Plastic
2661,img_2661.png,data\DSWD\DSWD\Train\Image\img_2661.png,Train,448,448,RGB,6,Glass,Glass
2670,img_2670.png,data\DSWD\DSWD\Train\Image\img_2670.png,Train,448,448,RGB,12,Aluminium foil,Metal
2680,img_2680.png,data\DSWD\DSWD\Train\Image\img_2680.png,Train,448,448,RGB,3,Thermocol,Plastic
2691,img_2691.png,data\DSWD\DSWD\Train\Image\img_2691.png,Train,448,448,RGB,12,Aluminium foil,Metal
2703,img_2703.png,data\DSWD\DSWD\Train\Image\img_2703.png,Train,448,448,RGB,0,Other,Other
2716,img_2716.png,data\DSWD\DSWD\Train\Image\img_2716.png,Train,448,448,RGB,12,Aluminium foil,Metal
2730,img_2730.png,data\DSWD\DSWD\Train\Image\img_2730.png,Train,448,448,RGB,0,Other,Other
2731,img_2731.png,data\DSWD\DSWD\Train\Image\img_2731.png,Train,448,448,RGB,0,Other,Other
2740,img_2740.png,data\DSWD\DSWD\Train\Image\img_2740.png,Train,448,448,RGB,3,Thermocol,Plastic
2745,img_2745.png,data\DSWD\DSWD\Train\Image\img_2745.png,Train,448,448,RGB,3,Thermocol,Plastic
2751,img_2751.png,data\DSWD\DSWD\Train\Image\img_2751.png,Train,448,448,RGB,0,Other,Other
2758,img_2758.png,data\DSWD\DSWD\Train\Image\img_2758.png,Train,448,448,RGB,3,Thermocol,Plastic
276,img_276.png,data\DSWD\DSWD\Train\Image\img_276.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2766,img_2766.png,data\DSWD\DSWD\Train\Image\img_2766.png,Train,448,448,RGB,0,Other,Other
2775,img_2775.png,data\DSWD\DSWD\Train\Image\img_2775.png,Train,448,448,RGB,3,Thermocol,Plastic
2785,img_2785.png,data\DSWD\DSWD\Train\Image\img_2785.png,Train,448,448,RGB,0,Other,Other
2796,img_2796.png,data\DSWD\DSWD\Train\Image\img_2796.png,Train,448,448,RGB,0,Other,Other
28,img_28.png,data\DSWD\DSWD\Train\Image\img_28.png,Train,448,448,RGB,3,Thermocol,Plastic
2808,img_2808.png,data\DSWD\DSWD\Train\Image\img_2808.png,Train,448,448,RGB,0,Other,Other
2836,img_2836.png,data\DSWD\DSWD\Train\Image\img_2836.png,Train,448,448,RGB,0,Other,Other
2838,img_2838.png,data\DSWD\DSWD\Train\Image\img_2838.png,Train,448,448,RGB,0,Other,Other
2841,img_2841.png,data\DSWD\DSWD\Train\Image\img_2841.png,Train,448,448,RGB,0,Other,Other
2845,img_2845.png,data\DSWD\DSWD\Train\Image\img_2845.png,Train,448,448,RGB,0,Other,Other
2850,img_2850.png,data\DSWD\DSWD\Train\Image\img_2850.png,Train,448,448,RGB,0,Other,Other
2856,img_2856.png,data\DSWD\DSWD\Train\Image\img_2856.png,Train,448,448,RGB,0,Other,Other
2863,img_2863.png,data\DSWD\DSWD\Train\Image\img_2863.png,Train,448,448,RGB,0,Other,Other
2871,img_2871.png,data\DSWD\DSWD\Train\Image\img_2871.png,Train,448,448,RGB,0,Other,Other
288,img_288.png,data\DSWD\DSWD\Train\Image\img_288.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
2880,img_2880.png,data\DSWD\DSWD\Train\Image\img_2880.png,Train,448,448,RGB,0,Other,Other
2913,img_2913.png,data\DSWD\DSWD\Train\Image\img_2913.png,Train,448,448,RGB,0,Other,Other
2926,img_2926.png,data\DSWD\DSWD\Train\Image\img_2926.png,Train,448,448,RGB,0,Other,Other
2940,img_2940.png,data\DSWD\DSWD\Train\Image\img_2940.png,Train,448,448,RGB,3,Thermocol,Plastic
2941,img_2941.png,data\DSWD\DSWD\Train\Image\img_2941.png,Train,448,448,RGB,3,Thermocol,Plastic
2943,img_2943.png,data\DSWD\DSWD\Train\Image\img_2943.png,Train,448,448,RGB,3,Thermocol,Plastic
2946,img_2946.png,data\DSWD\DSWD\Train\Image\img_2946.png,Train,448,448,RGB,3,Thermocol,Plastic
2950,img_2950.png,data\DSWD\DSWD\Train\Image\img_2950.png,Train,448,448,RGB,3,Thermocol,Plastic
2955,img_2955.png,data\DSWD\DSWD\Train\Image\img_2955.png,Train,448,448,RGB,3,Thermocol,Plastic
2961,img_2961.png,data\DSWD\DSWD\Train\Image\img_2961.png,Train,448,448,RGB,3,Thermocol,Plastic
2985,img_2985.png,data\DSWD\DSWD\Train\Image\img_2985.png,Train,448,448,RGB,3,Thermocol,Plastic
2995,img_2995.png,data\DSWD\DSWD\Train\Image\img_2995.png,Train,448,448,RGB,3,Thermocol,Plastic
3,img_3.png,data\DSWD\DSWD\Train\Image\img_3.png,Train,448,448,RGB,5,Plastic cardboard,Plastic
