record_id,date,zone_id,zone_name,total_waste_kg,organic_waste_kg,plastic_waste_kg,paper_waste_kg,metal_waste_kg,glass_waste_kg,other_waste_kg,number_of_active_bins,average_bin_fill_percentage,overflow_count,collection_count,population_density,commercial_density,market_activity_level,holiday_flag,festival_flag,event_activity_level,rainfall_mm,temperature_c,avg_daily_generation_kg_14d,split
AMD-ZW-000034,2025-09-02,AMD-Z-01,Navrangpura,7776.81,2534.11,1877.49,1840.13,370.17,484.25,670.65,23,55.85,1,29,28500,88,2.68,0,1,2,,23.5,7527.52,train
AMD-ZW-000035,2025-09-02,AMD-Z-02,Vastrapur,4775.44,1882.59,1118.24,703.15,194.89,266.57,610.0,21,45.74,1,20,24200,72,2.11,0,1,2,25.2,23.5,4796.75,train
AMD-ZW-000036,2025-09-02,AMD-Z-03,Satellite,9446.61,1558.44,2888.85,2566.81,464.69,768.73,1199.08,23,55.42,4,34,26800,80,2.68,0,1,2,25.2,23.5,9412.18,train
AMD-ZW-000037,2025-09-02,AMD-Z-04,Bodakdev,6820.41,2032.64,1828.06,1638.85,205.11,405.63,710.13,19,51.05,2,28,21900,76,2.79,0,1,2,25.2,23.5,6557.3,train
AMD-ZW-000038,2025-09-02,AMD-Z-05,Prahlad Nagar,5710.54,1411.0,1590.5,1496.53,238.19,393.79,580.55,19,61.35,1,27,23100,84,2.82,0,1,2,25.2,23.5,5814.76,train
AMD-ZW-000039,2025-09-02,AMD-Z-06,Thaltej,1090.66,726.13,108.58,67.04,13.73,28.07,147.11,18,38.78,1,18,20400,58,1.56,0,1,2,25.2,23.5,1096.13,train
AMD-ZW-000040,2025-09-02,AMD-Z-07,Bopal,1473.44,684.86,243.25,163.25,34.66,56.98,290.45,17,39.01,1,18,17600,44,1.5,0,1,2,25.2,23.5,1479.06,train
AMD-ZW-000041,2025-09-02,AMD-Z-08,Gota,1867.97,1095.97,279.28,173.54,37.05,38.51,243.62,17,34.59,0,15,19800,46,1.44,0,1,2,25.2,23.5,1915.66,train
AMD-ZW-000042,2025-09-02,AMD-Z-09,Chandkheda,1823.42,964.49,326.61,218.94,45.36,57.62,210.41,18,38.8,1,16,22700,48,1.49,0,1,2,25.2,23.5,1705.28,train
AMD-ZW-000043,2025-09-02,AMD-Z-10,Motera,2401.9,1385.12,343.03,191.4,37.83,98.68,345.84,17,45.49,1,16,21300,52,1.47,0,1,2,25.2,23.5,2061.01,train
AMD-ZW-000044,2025-09-02,AMD-Z-11,Maninagar,13003.07,9413.7,1209.88,686.12,150.83,317.35,1225.2,23,48.83,4,34,35200,82,4.25,0,1,2,25.2,23.5,13396.04,train
AMD-ZW-000045,2025-09-02,AMD-Z-12,Paldi,1914.2,1029.31,296.74,197.86,43.45,39.46,307.39,17,52.66,2,16,26400,56,1.44,0,1,2,25.2,23.5,1925.91,train
AMD-ZW-000046,2025-09-02,AMD-Z-13,Vasna,2062.28,957.98,361.09,226.95,40.67,83.72,391.87,17,41.22,1,19,29100,48,1.49,0,1,2,25.2,23.5,2255.47,train
AMD-ZW-000047,2025-09-02,AMD-Z-14,Shahibaug,5457.28,2315.21,1137.79,632.53,257.49,300.66,813.59,16,49.35,1,20,27300,62,2.28,0,1,2,25.2,23.5,5635.13,train
AMD-ZW-000048,2025-09-02,AMD-Z-15,Naranpura,1660.0,1022.16,202.03,144.77,21.05,31.1,238.88,17,46.76,0,17,28900,58,1.53,0,1,2,25.2,23.5,1581.75,train
AMD-ZW-000049,2025-09-02,AMD-Z-16,Memnagar,1817.92,1278.28,211.41,95.31,21.22,40.72,170.98,16,47.19,2,15,25600,54,1.39,0,1,2,25.2,23.5,1709.25,train
AMD-ZW-000050,2025-09-02,AMD-Z-17,Isanpur,2048.85,1402.14,201.42,129.78,25.49,51.52,238.5,16,45.84,2,19,31400,46,1.5,0,1,2,25.2,23.5,2049.34,train
AMD-ZW-000051,2025-09-02,AMD-Z-18,Nikol,2828.19,1623.81,461.59,252.09,71.5,66.72,352.48,18,42.8,0,19,33800,50,1.5,0,1,2,25.2,23.5,2820.79,train
AMD-ZW-000052,2025-09-02,AMD-Z-19,Vastral,1849.96,1130.46,281.18,137.85,28.22,40.1,232.16,17,39.49,1,18,32600,48,1.46,0,1,2,25.2,23.5,1884.95,train
AMD-ZW-000053,2025-09-02,AMD-Z-20,Naroda,11911.95,2216.68,3268.1,1755.81,1425.97,1041.82,2203.56,20,57.48,10,34,30200,68,2.05,0,1,2,25.2,23.5,11575.32,train
AMD-ZW-000054,2025-09-02,AMD-Z-21,Odhav,8782.37,1661.19,2278.54,1357.79,1125.28,758.84,1600.73,18,56.02,3,22,28700,64,1.76,0,1,2,25.2,23.5,7927.94,train
AMD-ZW-000055,2025-09-02,AMD-Z-22,Vatva,6696.55,1320.19,1798.7,1197.55,688.42,455.83,1235.87,19,49.66,2,24,29500,66,1.72,0,1,2,25.2,23.5,7196.44,train
AMD-ZW-000056,2025-09-02,AMD-Z-23,Ranip,2028.69,1379.83,228.47,126.21,24.28,33.07,236.83,16,40.43,0,15,27800,50,1.53,0,1,2,25.2,23.5,1942.99,train
AMD-ZW-000057,2025-09-02,AMD-Z-24,Sabarmati,1528.04,976.93,178.02,99.49,17.73,53.06,202.8,16,38.74,0,12,26100,54,1.52,0,1,2,25.2,23.5,1584.49,train
AMD-ZW-000058,2025-09-02,AMD-Z-25,Ellis Bridge,7395.44,1914.62,2042.26,1992.37,203.36,453.76,789.08,16,61.54,3,20,24900,82,2.75,0,1,2,25.2,23.5,7213.56,train
AMD-ZW-000059,2025-09-02,AMD-Z-26,Ashram Road,10681.53,1813.36,3034.68,3434.27,696.77,720.63,981.82,18,75.0,9,22,23400,90,2.79,0,1,2,25.2,23.5,9229.93,train
AMD-ZW-000060,2025-09-02,AMD-Z-27,CG Road,9415.8,3314.89,2269.92,2057.77,277.11,560.07,936.04,20,63.65,5,28,22800,94,2.75,0,1,2,25.2,23.5,8706.38,train
AMD-ZW-000061,2025-09-02,AMD-Z-28,Relief Road,11883.93,8454.6,1172.65,761.39,174.92,353.49,966.88,22,55.71,7,34,37600,90,4.15,0,1,2,25.2,23.5,12173.08,train
AMD-ZW-000062,2025-09-02,AMD-Z-29,Shahpur,10661.84,8081.72,881.22,555.89,166.98,132.38,843.66,17,60.27,6,26,34800,74,4.15,0,1,2,25.2,23.5,10816.63,train
AMD-ZW-000063,2025-09-02,AMD-Z-30,Jamalpur,16119.49,12199.71,1581.14,646.47,81.17,300.44,1310.56,21,53.86,6,34,36900,86,4.19,0,1,2,25.2,23.5,15942.79,train
AMD-ZW-000064,2025-09-02,AMD-Z-31,Dariyapur,11470.9,9173.64,758.96,508.47,117.62,191.94,720.27,16,52.45,3,28,35100,70,4.31,0,1,2,25.2,23.5,11755.33,train
AMD-ZW-000065,2025-09-02,AMD-Z-32,Saraspur,6321.64,674.29,2007.73,1342.15,733.52,573.17,990.78,16,47.76,2,18,31200,60,1.73,0,1,2,25.2,23.5,6178.33,train
AMD-ZW-000066,2025-09-02,AMD-Z-33,Wadaj,1960.35,1086.64,286.84,202.2,42.25,59.98,282.45,16,46.37,1,14,28300,52,1.45,0,1,2,25.2,23.5,2138.67,train
AMD-ZW-000067,2025-09-03,AMD-Z-01,Navrangpura,7789.43,2046.65,2037.28,2138.14,369.34,403.85,794.18,23,57.91,3,29,28500,88,3.15,0,1,2,0.0,31.0,7652.17,train
AMD-ZW-000068,2025-09-03,AMD-Z-02,Vastrapur,5007.08,1692.87,1090.79,911.29,224.0,220.11,868.02,21,46.17,1,20,24200,72,2.54,0,1,2,0.0,31.0,4786.1,train
AMD-ZW-000069,2025-09-03,AMD-Z-03,Satellite,9752.37,1457.55,2971.27,3244.65,351.88,754.81,972.21,23,61.11,6,32,26800,80,3.13,0,1,2,0.0,31.0,9429.39,train
AMD-ZW-000070,2025-09-03,AMD-Z-04,Bodakdev,7302.03,1975.23,1807.87,2001.99,262.21,427.75,826.98,19,58.45,5,27,21900,76,3.16,0,1,2,0.0,31.0,6688.86,train
AMD-ZW-000071,2025-09-03,AMD-Z-05,Prahlad Nagar,5660.54,1307.5,1574.62,1586.02,139.62,393.76,659.03,19,55.96,3,20,23100,84,3.12,0,1,2,0.0,31.0,5762.65,train
AMD-ZW-000072,2025-09-03,AMD-Z-06,Thaltej,1178.62,762.14,131.11,86.57,23.65,12.64,162.51,18,39.27,2,17,20400,58,1.88,0,1,2,0.0,31.0,1093.4,train
AMD-ZW-000073,2025-09-03,AMD-Z-07,Bopal,1455.18,690.99,287.0,164.18,24.2,43.12,245.69,17,36.48,1,20,17600,44,1.87,0,1,2,0.0,31.0,1476.25,train
AMD-ZW-000074,2025-09-03,AMD-Z-08,Gota,1923.98,1171.64,273.67,116.36,46.1,51.5,264.7,17,39.04,0,20,19800,46,1.88,0,1,2,0.0,31.0,1891.81,train
AMD-ZW-000075,2025-09-03,AMD-Z-09,Chandkheda,1858.44,1025.79,287.03,184.07,31.85,68.0,261.7,18,35.39,0,16,22700,48,1.82,0,1,2,0.0,31.0,1764.35,train
AMD-ZW-000076,2025-09-03,AMD-Z-10,Motera,1830.24,973.08,323.22,211.3,46.6,58.68,217.35,17,40.84,0,15,21300,52,1.88,0,1,2,0.0,31.0,2231.45,train
AMD-ZW-000077,2025-09-03,AMD-Z-11,Maninagar,14096.55,10394.56,1161.34,855.65,173.29,194.62,1317.1,23,52.9,5,35,35200,82,4.4,0,1,2,0.0,31.0,13199.56,train
AMD-ZW-000078,2025-09-03,AMD-Z-12,Paldi,1952.1,1055.01,302.12,203.26,38.07,52.3,301.35,17,45.2,0,11,26400,56,1.79,0,1,2,0.0,31.0,1920.06,train
AMD-ZW-000079,2025-09-03,AMD-Z-13,Vasna,2351.35,1041.93,465.27,236.92,60.48,97.92,448.83,17,39.57,0,17,29100,48,1.93,0,1,2,0.0,31.0,2158.88,train
AMD-ZW-000080,2025-09-03,AMD-Z-14,Shahibaug,5682.3,2318.23,1215.68,877.39,263.3,307.77,699.93,16,43.64,0,19,27300,62,2.59,0,1,2,0.0,31.0,5546.2,train
AMD-ZW-000081,2025-09-03,AMD-Z-15,Naranpura,1804.41,1016.28,258.89,168.42,45.32,43.32,272.18,17,48.92,2,18,28900,58,1.82,0,1,2,0.0,31.0,1620.87,train
AMD-ZW-000082,2025-09-03,AMD-Z-16,Memnagar,1768.28,1147.3,207.25,128.42,29.77,40.75,214.78,16,43.14,1,16,25600,54,1.83,0,1,2,0.0,31.0,1763.59,train
AMD-ZW-000083,2025-09-03,AMD-Z-17,Isanpur,2199.38,1400.63,273.06,158.88,67.09,43.12,256.59,16,42.99,1,16,31400,46,1.95,0,1,2,0.0,31.0,2049.1,train
AMD-ZW-000084,2025-09-03,AMD-Z-18,Nikol,2896.87,1599.76,407.59,270.32,99.07,61.57,458.56,18,44.56,1,18,33800,50,1.78,0,1,2,0.0,31.0,2824.49,train
AMD-ZW-000085,2025-09-03,AMD-Z-19,Vastral,1857.73,1174.53,230.32,131.82,52.94,36.41,231.71,17,38.51,1,19,32600,48,1.9,0,1,2,0.0,31.0,1867.46,train
AMD-ZW-000086,2025-09-03,AMD-Z-20,Naroda,10252.32,1751.57,2826.67,1973.77,1209.5,772.75,1718.06,20,50.65,2,32,30200,68,2.58,0,1,2,0.0,31.0,11743.64,train
AMD-ZW-000087,2025-09-03,AMD-Z-21,Odhav,9065.57,1709.17,2325.18,1791.98,964.04,603.07,1672.13,18,57.57,2,22,28700,64,2.28,0,1,2,0.0,31.0,8355.16,train
AMD-ZW-000088,2025-09-03,AMD-Z-22,Vatva,7232.06,1413.98,2068.15,1192.87,886.67,469.8,1200.6,19,52.86,2,24,29500,66,2.05,0,1,2,0.0,31.0,6946.5,train
AMD-ZW-000089,2025-09-03,AMD-Z-23,Ranip,2414.34,1745.22,247.39,155.1,19.2,38.87,208.56,16,45.43,0,11,27800,50,1.88,0,1,2,0.0,31.0,1985.84,train
AMD-ZW-000090,2025-09-03,AMD-Z-24,Sabarmati,1585.95,1060.96,188.68,126.29,17.8,21.49,170.74,16,42.53,0,16,26100,54,1.98,0,1,2,0.0,31.0,1556.27,train
AMD-ZW-000091,2025-09-03,AMD-Z-25,Ellis Bridge,7888.27,1723.57,2059.83,2423.83,436.55,514.08,730.41,16,62.24,4,18,24900,82,3.17,0,1,2,0.0,31.0,7304.5,train
AMD-ZW-000092,2025-09-03,AMD-Z-26,Ashram Road,10582.69,1931.49,2797.31,3268.53,513.16,901.16,1171.04,18,74.76,6,23,23400,90,3.06,0,1,2,0.0,31.0,9955.73,train
AMD-ZW-000093,2025-09-03,AMD-Z-27,CG Road,8863.25,3035.66,2019.4,1951.35,375.1,422.85,1058.88,20,59.55,5,27,22800,94,3.17,0,1,2,0.0,31.0,9061.09,train
AMD-ZW-000094,2025-09-03,AMD-Z-28,Relief Road,12626.8,8761.68,1372.04,1010.67,156.38,275.98,1050.04,22,59.73,10,35,37600,90,4.41,0,1,2,0.0,31.0,12028.5,train
AMD-ZW-000095,2025-09-03,AMD-Z-29,Shahpur,11643.22,8680.07,1103.59,618.01,93.77,143.62,1004.16,17,58.81,4,27,34800,74,4.43,0,1,2,0.0,31.0,10739.23,train
AMD-ZW-000096,2025-09-03,AMD-Z-30,Jamalpur,17960.6,13476.99,1649.73,1004.56,112.34,310.24,1406.75,21,60.32,11,33,36900,86,4.46,0,1,2,0.0,31.0,16031.14,train
AMD-ZW-000097,2025-09-03,AMD-Z-31,Dariyapur,13021.32,10076.86,886.21,816.26,118.14,177.54,946.32,16,52.03,3,26,35100,70,4.5,0,1,2,0.0,31.0,11613.11,train
AMD-ZW-000098,2025-09-03,AMD-Z-32,Saraspur,6014.07,540.16,1785.02,1322.79,748.94,515.39,1101.75,16,48.31,0,22,31200,60,2.17,0,1,2,0.0,31.0,6249.98,train
AMD-ZW-000099,2025-09-03,AMD-Z-33,Wadaj,2089.44,1165.99,322.44,219.34,40.12,65.93,275.61,16,47.95,1,15,28300,52,1.8,0,1,2,0.0,31.0,2049.51,train
AMD-ZW-000100,2025-09-04,AMD-Z-01,Navrangpura,8637.73,2816.46,2016.69,2330.24,272.56,433.18,768.59,23,59.38,4,29,28500,88,3.17,0,1,2,0.0,25.6,7697.92,train
AMD-ZW-000101,2025-09-04,AMD-Z-02,Vastrapur,5088.72,1692.89,1282.07,862.73,215.87,310.49,724.68,21,47.69,3,18,24200,72,2.65,0,1,2,0.0,25.6,4859.76,train
AMD-ZW-000102,2025-09-04,AMD-Z-03,Satellite,10213.52,1519.59,3044.07,3401.86,397.2,679.28,1171.54,23,63.87,5,33,26800,80,3.23,0,1,2,0.0,25.6,9537.05,train
AMD-ZW-000103,2025-09-04,AMD-Z-04,Bodakdev,7616.47,1917.0,1979.57,2113.51,326.77,507.74,771.86,19,62.53,8,28,21900,76,3.3,0,1,2,0.0,25.6,6893.25,train
AMD-ZW-000104,2025-09-04,AMD-Z-05,Prahlad Nagar,6228.82,1641.92,1523.43,1754.47,276.03,338.52,694.45,19,62.12,2,28,23100,84,3.37,0,1,2,0.0,25.6,5728.61,train
AMD-ZW-000105,2025-09-04,AMD-Z-06,Thaltej,1152.45,740.38,141.02,87.14,21.42,30.57,131.93,18,40.19,1,18,20400,58,1.75,0,1,2,0.0,25.6,1121.8,train
AMD-ZW-000106,2025-09-04,AMD-Z-07,Bopal,1572.56,733.58,338.14,181.95,33.81,58.98,226.12,17,33.92,0,18,17600,44,1.87,0,1,2,0.0,25.6,1469.23,train
AMD-ZW-000107,2025-09-04,AMD-Z-08,Gota,2381.97,1453.27,310.08,262.67,30.65,62.35,262.95,17,43.41,1,15,19800,46,1.88,0,1,2,0.0,25.6,1902.54,train
AMD-ZW-000108,2025-09-04,AMD-Z-09,Chandkheda,1888.65,973.06,289.98,220.38,41.15,46.06,318.02,18,36.97,0,16,22700,48,1.94,0,1,2,0.0,25.6,1795.71,train
AMD-ZW-000109,2025-09-04,AMD-Z-10,Motera,1815.48,1013.63,257.23,194.42,27.86,44.64,277.69,17,40.15,0,15,21300,52,1.91,0,1,2,0.0,25.6,2097.71,train
AMD-ZW-000110,2025-09-04,AMD-Z-11,Maninagar,14610.96,10728.48,1302.62,961.14,152.73,268.85,1197.13,23,60.68,10,34,35200,82,4.55,0,1,2,0.0,25.6,13498.55,train
AMD-ZW-000111,2025-09-04,AMD-Z-12,Paldi,2023.13,1115.23,305.03,226.51,42.63,69.74,263.98,17,52.41,1,16,26400,56,1.87,0,1,2,0.0,25.6,1930.74,train
AMD-ZW-000112,2025-09-04,AMD-Z-13,Vasna,2271.52,910.97,499.28,347.17,41.09,81.4,391.6,17,42.52,2,19,29100,48,2.01,0,1,2,0.0,25.6,2223.03,train
AMD-ZW-000113,2025-09-04,AMD-Z-14,Shahibaug,6019.25,2501.37,1196.77,962.26,240.39,262.5,855.96,16,49.06,1,20,27300,62,2.61,0,1,2,0.0,25.6,5591.57,train
AMD-ZW-000114,2025-09-04,AMD-Z-15,Naranpura,1746.47,1001.89,207.53,157.46,35.56,49.3,294.74,17,45.51,0,17,28900,58,1.88,0,1,2,0.0,25.6,1682.05,train
AMD-ZW-000115,2025-09-04,AMD-Z-16,Memnagar,1768.99,1113.22,199.27,160.9,23.98,26.2,245.42,16,43.86,1,15,25600,54,1.98,0,1,2,0.0,25.6,1765.15,train
AMD-ZW-000116,2025-09-04,AMD-Z-17,Isanpur,2209.28,1452.79,246.87,169.86,44.28,43.08,252.39,16,45.92,2,18,31400,46,1.98,0,1,2,0.0,25.6,2099.19,train
AMD-ZW-000117,2025-09-04,AMD-Z-18,Nikol,2975.75,1589.07,509.96,263.11,56.91,78.13,478.56,18,48.06,1,19,33800,50,1.94,0,1,2,0.0,25.6,2848.62,train
AMD-ZW-000118,2025-09-04,AMD-Z-19,Vastral,2096.09,1345.71,242.04,168.21,24.31,60.49,255.33,17,40.42,0,17,32600,48,1.76,0,1,2,0.0,25.6,1864.22,train
AMD-ZW-000119,2025-09-04,AMD-Z-20,Naroda,11432.57,1736.44,3251.29,2129.29,1247.81,898.98,2168.75,20,55.44,7,32,30200,68,2.52,0,1,2,0.0,25.6,11246.53,train
AMD-ZW-000120,2025-09-04,AMD-Z-21,Odhav,8734.94,1496.19,2345.81,1643.18,1099.04,684.23,1466.5,18,58.37,3,25,28700,64,2.21,0,1,2,0.0,25.6,8591.96,train
AMD-ZW-000121,2025-09-04,AMD-Z-22,Vatva,6876.45,1275.42,1798.72,1240.61,721.41,568.81,1271.49,19,53.79,4,23,29500,66,2.13,0,1,2,0.0,25.6,7041.69,train
AMD-ZW-000122,2025-09-04,AMD-Z-23,Ranip,2136.99,1411.47,228.38,171.36,29.13,40.19,256.45,16,52.08,3,15,27800,50,1.78,0,1,2,0.0,25.6,2128.67,train
AMD-ZW-000123,2025-09-04,AMD-Z-24,Sabarmati,1611.62,1012.88,214.48,140.43,27.3,17.51,199.01,16,41.75,2,13,26100,54,2.05,0,1,2,0.0,25.6,1566.16,train
AMD-ZW-000124,2025-09-04,AMD-Z-25,Ellis Bridge,8721.78,2333.28,2224.12,2307.16,283.02,604.7,969.49,16,69.22,3,22,24900,82,3.16,0,1,2,0.0,25.6,7499.09,train
AMD-ZW-000125,2025-09-04,AMD-Z-26,Ashram Road,9674.43,1655.35,2857.75,3053.89,317.68,832.84,956.91,18,72.74,6,24,23400,90,3.17,0,1,2,0.0,25.6,10164.72,train
AMD-ZW-000126,2025-09-04,AMD-Z-27,CG Road,9848.27,3014.0,2567.12,2503.94,358.4,478.73,926.1,20,62.44,8,26,22800,94,3.1,0,1,2,0.0,25.6,8995.15,train
AMD-ZW-000127,2025-09-04,AMD-Z-28,Relief Road,13486.82,9518.2,1374.07,802.06,166.56,508.95,1116.99,22,62.43,11,34,37600,90,4.47,0,1,2,0.0,25.6,12227.94,train
AMD-ZW-000128,2025-09-04,AMD-Z-29,Shahpur,13321.98,9155.62,1550.44,991.59,138.54,248.17,1237.61,17,61.98,8,27,34800,74,4.53,0,1,2,0.0,25.6,11040.56,train
AMD-ZW-000129,2025-09-04,AMD-Z-30,Jamalpur,18882.6,13910.97,1897.56,1009.33,171.05,485.7,1408.0,21,66.36,11,35,36900,86,4.48,0,1,2,0.0,25.6,16674.3,train
AMD-ZW-000130,2025-09-04,AMD-Z-31,Dariyapur,13416.8,10301.1,1079.87,761.41,143.71,200.18,930.52,16,53.55,3,28,35100,70,4.5,0,1,2,0.0,25.6,12082.52,train
AMD-ZW-000131,2025-09-04,AMD-Z-32,Saraspur,5834.99,460.97,1703.95,1272.16,912.4,408.26,1077.24,16,44.79,0,18,31200,60,2.22,0,1,2,0.0,25.6,6171.35,train
