composition_id,bin_id,zone_id,zone_name,timestamp,date,waste_stream,plastic_percentage,paper_percentage,metal_percentage,glass_percentage,organic_percentage,other_percentage,total_waste_kg,collection_id,composition_source,confidence,split
AMD-COMP-021537,AMD-BIN-0246,AMD-Z-13,Vasna,2025-09-01 00:48:56,2025-09-01,Mixed,21.22,11.01,1.47,0.05,55.08,11.17,59.47,AMD-COL-0101554,sensor_estimate,0.621,train
AMD-COMP-045557,AMD-BIN-0509,AMD-Z-28,Relief Road,2025-09-01 00:49:04,2025-09-01,Mixed,10.11,10.35,0.05,0.05,75.28,4.16,349.11,AMD-COL-0213458,image_classifier,0.766,train
AMD-COMP-052836,AMD-BIN-0567,AMD-Z-31,Dariyapur,2025-09-01 00:49:34,2025-09-01,Organic,5.13,5.55,2.29,0.05,83.47,3.51,488.93,AMD-COL-0248210,image_classifier,0.913,train
AMD-COMP-019014,AMD-BIN-0214,AMD-Z-11,Maninagar,2025-09-01 00:50:05,2025-09-01,Commercial,16.61,9.07,1.64,0.05,64.34,8.29,63.66,AMD-COL-0089587,sensor_estimate,0.84,train
AMD-COMP-033794,AMD-BIN-0381,AMD-Z-21,Odhav,2025-09-01 00:50:28,2025-09-01,Organic,11.69,4.67,2.65,6.12,47.79,27.08,251.34,AMD-COL-0158879,image_classifier,0.955,train
AMD-COMP-016647,AMD-BIN-0193,AMD-Z-11,Maninagar,2025-09-01 00:50:33,2025-09-01,Mixed,6.56,4.79,0.05,0.79,78.14,9.67,443.51,AMD-COL-0078641,image_classifier,0.827,train
AMD-COMP-005988,AMD-BIN-0067,AMD-Z-03,Satellite,2025-09-01 00:51:56,2025-09-01,Dry,34.41,41.22,5.28,6.02,5.07,8.0,440.25,AMD-COL-0028540,sensor_estimate,0.692,train
AMD-COMP-051236,AMD-BIN-0554,AMD-Z-31,Dariyapur,2025-09-01 01:02:57,2025-09-01,Mixed,7.99,2.17,5.0,0.05,75.76,9.03,457.11,AMD-COL-0240634,image_classifier,0.814,train
AMD-COMP-048381,AMD-BIN-0531,AMD-Z-29,Shahpur,2025-09-01 01:36:24,2025-09-01,Mixed,12.67,5.37,2.86,0.05,64.18,14.87,366.43,AMD-COL-0226780,image_classifier,0.731,train
AMD-COMP-018170,AMD-BIN-0206,AMD-Z-11,Maninagar,2025-09-01 01:51:44,2025-09-01,Dry,37.94,21.2,1.54,3.45,27.3,8.57,303.12,AMD-COL-0085718,image_classifier,0.88,train
AMD-COMP-046811,AMD-BIN-0518,AMD-Z-29,Shahpur,2025-09-01 12:04:25,2025-09-01,Organic,0.73,0.05,1.74,0.05,90.7,6.73,394.3,AMD-COL-0219340,image_classifier,0.784,train
AMD-COMP-043710,AMD-BIN-0492,AMD-Z-27,CG Road,2025-09-01 12:04:46,2025-09-01,Recyclable,28.37,39.28,9.71,5.49,8.18,8.97,211.86,AMD-COL-0204776,image_classifier,0.875,train
AMD-COMP-017772,AMD-BIN-0203,AMD-Z-11,Maninagar,2025-09-01 12:04:48,2025-09-01,Commercial,14.44,17.25,2.18,4.75,49.67,11.71,598.84,AMD-COL-0083876,sensor_estimate,0.62,train
AMD-COMP-025456,AMD-BIN-0292,AMD-Z-16,Memnagar,2025-09-01 12:05:00,2025-09-01,Organic,3.86,0.05,0.05,0.05,89.21,6.78,67.07,AMD-COL-0120299,manual_audit,0.901,train
AMD-COMP-011516,AMD-BIN-0126,AMD-Z-07,Bopal,2025-09-01 12:06:05,2025-09-01,Dry,17.11,31.7,2.29,7.14,20.33,21.43,227.9,AMD-COL-0054683,image_classifier,0.829,train
AMD-COMP-016181,AMD-BIN-0188,AMD-Z-10,Motera,2025-09-01 12:06:19,2025-09-01,Organic,0.69,1.03,2.27,1.86,89.76,4.39,74.58,AMD-COL-0076448,image_classifier,0.838,train
AMD-COMP-043141,AMD-BIN-0487,AMD-Z-27,CG Road,2025-09-01 12:06:30,2025-09-01,Mixed,16.31,20.96,2.69,7.86,39.7,12.48,298.63,AMD-COL-0202146,image_classifier,0.857,train
AMD-COMP-026665,AMD-BIN-0307,AMD-Z-17,Isanpur,2025-09-01 12:06:46,2025-09-01,Mixed,10.09,4.86,2.82,7.06,55.06,20.11,218.2,AMD-COL-0125638,manual_audit,0.937,train
AMD-COMP-026869,AMD-BIN-0309,AMD-Z-17,Isanpur,2025-09-01 12:06:58,2025-09-01,Mixed,12.66,5.73,3.6,1.13,64.24,12.64,357.05,AMD-COL-0126552,sensor_estimate,0.658,train
AMD-COMP-049061,AMD-BIN-0536,AMD-Z-30,Jamalpur,2025-09-01 12:07:35,2025-09-01,Organic,1.42,0.31,0.05,0.13,91.94,6.15,432.92,AMD-COL-0230103,image_classifier,0.835,train
AMD-COMP-054696,AMD-BIN-0586,AMD-Z-33,Wadaj,2025-09-01 12:08:06,2025-09-01,Organic,3.88,6.18,0.74,0.05,82.2,6.95,49.24,AMD-COL-0256995,image_classifier,0.923,train
AMD-COMP-037378,AMD-BIN-0423,AMD-Z-24,Sabarmati,2025-09-01 12:08:12,2025-09-01,Mixed,16.19,4.19,1.93,2.32,60.57,14.8,106.34,AMD-COL-0175483,sensor_estimate,0.714,train
AMD-COMP-040837,AMD-BIN-0463,AMD-Z-26,Ashram Road,2025-09-01 12:08:29,2025-09-01,Dry,23.4,37.45,3.1,11.46,5.79,18.8,748.72,AMD-COL-0191491,manual_audit,0.935,train
AMD-COMP-005289,AMD-BIN-0059,AMD-Z-03,Satellite,2025-09-01 12:08:52,2025-09-01,Commercial,20.78,30.55,2.92,12.23,25.25,8.27,363.48,AMD-COL-0025131,image_classifier,0.786,train
AMD-COMP-021759,AMD-BIN-0248,AMD-Z-13,Vasna,2025-09-01 12:09:11,2025-09-01,Mixed,13.08,14.35,2.0,0.62,50.06,19.89,100.76,AMD-COL-0102650,manual_audit,0.942,train
AMD-COMP-010543,AMD-BIN-0114,AMD-Z-06,Thaltej,2025-09-01 12:09:11,2025-09-01,Organic,5.53,5.74,0.05,2.24,79.67,6.77,31.25,AMD-COL-0050097,image_classifier,0.81,train
AMD-COMP-012539,AMD-BIN-0138,AMD-Z-07,Bopal,2025-09-01 12:09:46,2025-09-01,Organic,6.94,1.19,0.69,0.05,84.37,6.76,14.79,AMD-COL-0059574,image_classifier,0.706,train
AMD-COMP-020198,AMD-BIN-0228,AMD-Z-12,Paldi,2025-09-01 12:09:50,2025-09-01,Organic,4.67,1.83,0.45,0.99,85.45,6.61,125.09,AMD-COL-0095264,image_classifier,0.711,train
AMD-COMP-045087,AMD-BIN-0505,AMD-Z-28,Relief Road,2025-09-01 12:10:14,2025-09-01,Mixed,10.69,8.85,0.71,4.48,68.7,6.57,116.12,AMD-COL-0211224,image_classifier,0.876,train
AMD-COMP-033334,AMD-BIN-0378,AMD-Z-21,Odhav,2025-09-01 12:10:38,2025-09-01,Mixed,16.24,13.07,12.63,2.34,35.4,20.32,226.88,AMD-COL-0156708,image_classifier,0.758,train
AMD-COMP-045860,AMD-BIN-0511,AMD-Z-28,Relief Road,2025-09-01 12:10:41,2025-09-01,Commercial,13.17,8.08,1.13,1.01,68.08,8.53,535.33,AMD-COL-0214921,image_classifier,0.827,train
AMD-COMP-004089,AMD-BIN-0048,AMD-Z-03,Satellite,2025-09-01 12:10:47,2025-09-01,Mixed,17.68,17.8,10.14,9.92,37.72,6.74,100.79,AMD-COL-0019407,image_classifier,0.762,train
AMD-COMP-010202,AMD-BIN-0109,AMD-Z-06,Thaltej,2025-09-01 12:11:18,2025-09-01,Mixed,16.49,8.03,2.49,0.05,59.86,13.08,71.79,AMD-COL-0048575,sensor_estimate,0.768,train
AMD-COMP-010464,AMD-BIN-0113,AMD-Z-06,Thaltej,2025-09-01 12:11:52,2025-09-01,Mixed,13.13,6.81,1.58,3.46,58.96,16.06,27.72,AMD-COL-0049734,image_classifier,0.783,train
AMD-COMP-043063,AMD-BIN-0486,AMD-Z-27,CG Road,2025-09-01 12:13:15,2025-09-01,Organic,10.46,16.43,1.12,2.13,62.3,7.56,377.27,AMD-COL-0201780,image_classifier,0.779,train
AMD-COMP-053700,AMD-BIN-0574,AMD-Z-32,Saraspur,2025-09-01 12:13:32,2025-09-01,Recyclable,27.51,32.97,18.04,7.3,2.33,11.85,301.64,AMD-COL-0252225,sensor_estimate,0.727,train
AMD-COMP-046022,AMD-BIN-0512,AMD-Z-28,Relief Road,2025-09-01 12:13:51,2025-09-01,Mixed,12.69,3.7,0.05,4.65,69.87,9.04,296.57,AMD-COL-0215647,sensor_estimate,0.662,train
AMD-COMP-003060,AMD-BIN-0036,AMD-Z-02,Vastrapur,2025-09-01 12:14:51,2025-09-01,Mixed,27.63,12.61,1.21,2.02,45.59,10.94,109.21,AMD-COL-0014597,image_classifier,0.735,train
AMD-COMP-055744,AMD-BIN-0600,AMD-Z-33,Wadaj,2025-09-01 12:15:10,2025-09-01,Recyclable,40.54,15.97,5.99,3.59,14.25,19.66,82.61,AMD-COL-0261874,image_classifier,0.702,train
AMD-COMP-037684,AMD-BIN-0428,AMD-Z-24,Sabarmati,2025-09-01 12:15:16,2025-09-01,Mixed,13.2,19.43,4.1,0.05,60.47,2.75,47.87,AMD-COL-0176772,image_classifier,0.805,train
AMD-COMP-026400,AMD-BIN-0303,AMD-Z-17,Isanpur,2025-09-01 12:15:20,2025-09-01,Mixed,8.85,6.96,0.13,3.85,59.98,20.23,78.4,AMD-COL-0124357,image_classifier,0.941,train
AMD-COMP-024483,AMD-BIN-0280,AMD-Z-15,Naranpura,2025-09-01 12:15:37,2025-09-01,Mixed,15.39,4.88,1.96,1.39,61.51,14.87,38.42,AMD-COL-0115812,image_classifier,0.813,train
AMD-COMP-037453,AMD-BIN-0424,AMD-Z-24,Sabarmati,2025-09-01 12:15:44,2025-09-01,Dry,24.77,16.73,0.85,11.28,15.18,31.19,295.59,AMD-COL-0175844,manual_audit,0.925,train
AMD-COMP-011074,AMD-BIN-0120,AMD-Z-06,Thaltej,2025-09-01 12:16:20,2025-09-01,Mixed,4.87,10.0,1.46,6.37,61.06,16.24,24.58,AMD-COL-0052654,image_classifier,0.959,train
AMD-COMP-052100,AMD-BIN-0560,AMD-Z-31,Dariyapur,2025-09-01 12:16:31,2025-09-01,Mixed,11.06,6.35,1.69,3.1,70.12,7.68,734.05,AMD-COL-0244671,sensor_estimate,0.669,train
AMD-COMP-052514,AMD-BIN-0564,AMD-Z-31,Dariyapur,2025-09-01 12:16:54,2025-09-01,Organic,7.02,1.63,0.05,0.05,88.87,2.38,177.73,AMD-COL-0246720,sensor_estimate,0.771,train
AMD-COMP-046575,AMD-BIN-0516,AMD-Z-29,Shahpur,2025-09-01 12:16:55,2025-09-01,Mixed,15.4,6.63,1.11,0.05,62.33,14.48,285.66,AMD-COL-0218219,image_classifier,0.794,train
AMD-COMP-016136,AMD-BIN-0187,AMD-Z-10,Motera,2025-09-01 12:17:25,2025-09-01,Mixed,11.69,6.72,0.98,0.75,69.85,10.01,105.9,AMD-COL-0076240,manual_audit,0.909,train
AMD-COMP-011986,AMD-BIN-0132,AMD-Z-07,Bopal,2025-09-01 12:17:44,2025-09-01,Mixed,11.37,12.51,0.72,2.0,64.8,8.6,13.21,AMD-COL-0056869,image_classifier,0.821,train
AMD-COMP-047370,AMD-BIN-0523,AMD-Z-29,Shahpur,2025-09-01 12:18:41,2025-09-01,Mixed,14.22,5.41,0.07,1.56,72.6,6.14,408.82,AMD-COL-0221974,image_classifier,0.83,train
AMD-COMP-004920,AMD-BIN-0056,AMD-Z-03,Satellite,2025-09-01 12:18:48,2025-09-01,Dry,33.74,29.27,7.16,6.77,3.14,19.92,52.91,AMD-COL-0023291,sensor_estimate,0.638,train
AMD-COMP-021052,AMD-BIN-0240,AMD-Z-13,Vasna,2025-09-01 12:20:23,2025-09-01,Organic,1.0,0.05,0.05,0.05,91.61,7.24,50.51,AMD-COL-0099324,image_classifier,0.89,train
AMD-COMP-018499,AMD-BIN-0209,AMD-Z-11,Maninagar,2025-09-01 12:20:25,2025-09-01,Organic,3.32,4.43,0.05,1.31,88.97,1.92,438.83,AMD-COL-0087187,manual_audit,0.93,train
AMD-COMP-020904,AMD-BIN-0238,AMD-Z-13,Vasna,2025-09-01 12:21:01,2025-09-01,Mixed,13.7,11.66,1.08,4.43,60.92,8.21,106.2,AMD-COL-0098583,sensor_estimate,0.755,train
AMD-COMP-023016,AMD-BIN-0262,AMD-Z-14,Shahibaug,2025-09-01 12:21:09,2025-09-01,Organic,4.35,5.1,0.36,0.05,79.84,10.3,556.62,AMD-COL-0108761,image_classifier,0.814,train
AMD-COMP-015077,AMD-BIN-0171,AMD-Z-09,Chandkheda,2025-09-01 12:21:48,2025-09-01,Organic,0.14,0.89,1.77,7.84,82.05,7.31,35.47,AMD-COL-0071465,manual_audit,0.908,train
AMD-COMP-016648,AMD-BIN-0193,AMD-Z-11,Maninagar,2025-09-01 12:21:56,2025-09-01,Mixed,5.51,2.29,0.88,2.47,78.58,10.27,406.46,AMD-COL-0078642,image_classifier,0.936,train
AMD-COMP-048144,AMD-BIN-0529,AMD-Z-29,Shahpur,2025-09-01 12:22:04,2025-09-01,Dry,32.08,15.98,3.48,5.95,16.76,25.75,895.51,AMD-COL-0225666,image_classifier,0.868,train
AMD-COMP-035603,AMD-BIN-0399,AMD-Z-22,Vatva,2025-09-01 12:22:26,2025-09-01,Recyclable,32.07,17.78,20.26,12.07,6.8,11.02,101.4,AMD-COL-0167317,manual_audit,0.917,train
AMD-COMP-001721,AMD-BIN-0021,AMD-Z-01,Navrangpura,2025-09-01 12:22:35,2025-09-01,Commercial,31.3,24.34,7.19,11.0,18.33,7.84,43.32,AMD-COL-0008236,manual_audit,0.861,train
AMD-COMP-004406,AMD-BIN-0051,AMD-Z-03,Satellite,2025-09-01 12:23:06,2025-09-01,Dry,40.65,35.88,6.25,8.53,3.09,5.6,505.75,AMD-COL-0020877,sensor_estimate,0.794,train
AMD-COMP-002192,AMD-BIN-0024,AMD-Z-02,Vastrapur,2025-09-01 12:23:09,2025-09-01,Dry,33.58,21.13,0.06,7.97,4.28,32.98,227.35,AMD-COL-0010373,image_classifier,0.927,train
AMD-COMP-030326,AMD-BIN-0351,AMD-Z-20,Naroda,2025-09-01 12:23:14,2025-09-01,Commercial,31.53,18.09,7.37,4.48,14.31,24.22,208.89,AMD-COL-0142621,image_classifier,0.719,train
AMD-COMP-008109,AMD-BIN-0085,AMD-Z-04,Bodakdev,2025-09-01 12:23:17,2025-09-01,Commercial,21.64,34.93,6.34,10.76,20.11,6.22,399.69,AMD-COL-0038681,image_classifier,0.904,train
AMD-COMP-055261,AMD-BIN-0594,AMD-Z-33,Wadaj,2025-09-01 12:23:38,2025-09-01,Mixed,12.17,5.07,2.37,0.4,58.56,21.43,46.4,AMD-COL-0259602,manual_audit,0.861,train
AMD-COMP-046486,AMD-BIN-0515,AMD-Z-29,Shahpur,2025-09-01 12:24:34,2025-09-01,Organic,0.05,0.05,4.35,0.05,90.46,5.04,769.05,AMD-COL-0217821,image_classifier,0.758,train
AMD-COMP-049424,AMD-BIN-0539,AMD-Z-30,Jamalpur,2025-09-01 12:25:52,2025-09-01,Mixed,3.19,4.86,3.26,10.52,76.53,1.64,1014.37,AMD-COL-0231942,manual_audit,0.925,train
AMD-COMP-041651,AMD-BIN-0471,AMD-Z-26,Ashram Road,2025-09-01 12:26:37,2025-09-01,Commercial,30.66,19.53,5.45,4.27,28.52,11.57,510.3,AMD-COL-0195325,image_classifier,0.953,train
AMD-COMP-024950,AMD-BIN-0286,AMD-Z-16,Memnagar,2025-09-01 12:26:39,2025-09-01,Organic,8.3,1.5,0.58,0.05,83.58,5.99,196.16,AMD-COL-0118056,image_classifier,0.781,train
AMD-COMP-000230,AMD-BIN-0004,AMD-Z-01,Navrangpura,2025-09-01 12:26:45,2025-09-01,Recyclable,38.98,28.97,7.59,8.47,3.74,12.25,485.06,AMD-COL-0001118,manual_audit,0.919,train
AMD-COMP-047276,AMD-BIN-0522,AMD-Z-29,Shahpur,2025-09-01 12:26:57,2025-09-01,Organic,2.53,1.91,0.63,1.3,91.59,2.04,174.19,AMD-COL-0221557,image_classifier,0.905,train
AMD-COMP-048531,AMD-BIN-0532,AMD-Z-30,Jamalpur,2025-09-01 12:27:46,2025-09-01,Mixed,11.63,9.48,1.35,3.82,70.2,3.52,755.29,AMD-COL-0227506,image_classifier,0.714,train
AMD-COMP-054361,AMD-BIN-0581,AMD-Z-32,Saraspur,2025-09-01 12:27:52,2025-09-01,Commercial,24.09,12.95,12.25,6.08,14.51,30.12,403.11,AMD-COL-0255313,image_classifier,0.928,train
AMD-COMP-046181,AMD-BIN-0513,AMD-Z-28,Relief Road,2025-09-01 12:28:29,2025-09-01,Organic,3.39,2.63,0.05,2.18,84.71,7.04,139.51,AMD-COL-0216375,manual_audit,0.978,train
AMD-COMP-017921,AMD-BIN-0204,AMD-Z-11,Maninagar,2025-09-01 12:28:30,2025-09-01,Mixed,6.25,7.46,0.27,0.36,82.71,2.95,267.12,AMD-COL-0084601,sensor_estimate,0.813,train
AMD-COMP-035872,AMD-BIN-0403,AMD-Z-22,Vatva,2025-09-01 12:28:57,2025-09-01,Organic,8.63,5.1,0.05,1.25,68.01,16.96,402.79,AMD-COL-0168636,image_classifier,0.834,train
AMD-COMP-031678,AMD-BIN-0362,AMD-Z-20,Naroda,2025-09-01 12:28:58,2025-09-01,Recyclable,24.54,25.77,28.36,4.29,4.44,12.6,143.38,AMD-COL-0148907,manual_audit,0.885,train
AMD-COMP-043303,AMD-BIN-0489,AMD-Z-27,CG Road,2025-09-01 12:29:27,2025-09-01,Dry,31.59,37.85,5.42,9.2,4.02,11.92,196.54,AMD-COL-0202897,manual_audit,0.863,train
AMD-COMP-005917,AMD-BIN-0066,AMD-Z-03,Satellite,2025-09-01 12:31:12,2025-09-01,Commercial,22.26,34.54,3.24,12.64,14.17,13.15,71.35,AMD-COL-0028168,sensor_estimate,0.736,train
AMD-COMP-022410,AMD-BIN-0256,AMD-Z-14,Shahibaug,2025-09-01 12:31:40,2025-09-01,Dry,18.3,25.45,10.14,11.84,13.04,21.23,55.86,AMD-COL-0105805,image_classifier,0.902,train
AMD-COMP-050404,AMD-BIN-0547,AMD-Z-30,Jamalpur,2025-09-01 12:31:57,2025-09-01,Organic,10.01,2.12,2.7,0.43,79.11,5.63,351.03,AMD-COL-0236563,image_classifier,0.948,train
AMD-COMP-019158,AMD-BIN-0215,AMD-Z-11,Maninagar,2025-09-01 12:32:00,2025-09-01,Mixed,12.89,6.68,0.05,2.53,60.74,17.11,304.18,AMD-COL-0090309,manual_audit,0.983,train
AMD-COMP-000641,AMD-BIN-0009,AMD-Z-01,Navrangpura,2025-09-01 12:32:31,2025-09-01,Commercial,25.2,27.73,12.99,10.05,12.29,11.74,210.35,AMD-COL-0003214,image_classifier,0.796,train
AMD-COMP-030877,AMD-BIN-0356,AMD-Z-20,Naroda,2025-09-01 12:32:50,2025-09-01,Mixed,24.28,15.37,3.39,0.05,28.17,28.74,99.03,AMD-COL-0145170,image_classifier,0.91,train
AMD-COMP-042116,AMD-BIN-0477,AMD-Z-27,CG Road,2025-09-01 12:32:57,2025-09-01,Recyclable,44.18,22.44,9.7,9.63,7.55,6.5,264.47,AMD-COL-0197627,sensor_estimate,0.799,train
AMD-COMP-041105,AMD-BIN-0465,AMD-Z-26,Ashram Road,2025-09-01 12:33:19,2025-09-01,Mixed,32.7,16.15,3.26,5.63,34.06,8.2,96.62,AMD-COL-0192724,image_classifier,0.714,train
AMD-COMP-043218,AMD-BIN-0488,AMD-Z-27,CG Road,2025-09-01 12:33:35,2025-09-01,Mixed,14.67,29.0,6.86,8.42,30.22,10.83,452.61,AMD-COL-0202516,image_classifier,0.921,train
AMD-COMP-019764,AMD-BIN-0221,AMD-Z-12,Paldi,2025-09-01 12:33:38,2025-09-01,Mixed,17.31,5.95,4.44,0.51,58.54,13.25,233.63,AMD-COL-0093218,image_classifier,0.756,train
AMD-COMP-034095,AMD-BIN-0384,AMD-Z-21,Odhav,2025-09-01 12:34:21,2025-09-01,Dry,23.42,16.27,12.34,9.05,4.32,34.6,404.76,AMD-COL-0160169,sensor_estimate,0.678,train
AMD-COMP-023172,AMD-BIN-0264,AMD-Z-14,Shahibaug,2025-09-01 12:35:49,2025-09-01,Recyclable,41.21,22.72,6.26,10.6,8.8,10.41,231.1,AMD-COL-0109496,sensor_estimate,0.649,train
AMD-COMP-002367,AMD-BIN-0027,AMD-Z-02,Vastrapur,2025-09-01 12:36:09,2025-09-01,Mixed,19.39,8.0,3.24,2.28,50.08,17.01,364.06,AMD-COL-0011299,image_classifier,0.805,train
