vehicle_id,vehicle_type,capacity_kg,current_load_kg,available_capacity_kg,current_latitude,current_longitude,home_depot,status,fuel_type,average_speed_kmph,data_type
AMD-VEH-024,Mini Tipper,2000,0.0,2000.0,22.959482,72.593232,DEP-PIRANA,OFF_DUTY,CNG,27.5,synthetic
AMD-VEH-025,Mini Tipper,2000,896.7,1103.3,23.000158,72.555908,DEP-VASNA,ACTIVE,CNG,26.2,synthetic
AMD-VEH-026,Hopper Tipper,2000,1583.3,416.7,22.987522,72.55639,DEP-VASNA,IDLE,CNG,28.3,synthetic
AMD-VEH-027,Dumper Placer,3000,754.8,2245.2,23.081631,72.569855,DEP-GOTA,ACTIVE,Diesel,17.1,synthetic
AMD-VEH-028,Hopper Tipper,3000,45.7,2954.3,22.962315,72.578664,DEP-PIRANA,ACTIVE,CNG,21.3,synthetic
AMD-VEH-029,Mini Tipper,2000,0.0,2000.0,22.972172,72.539515,DEP-GYASPUR,OFF_DUTY,Diesel,23.6,synthetic
AMD-VEH-030,Hopper Tipper,2000,1200.9,799.1,23.016358,72.655339,DEP-VASTRAL,IDLE,Electric,23.0,synthetic
AMD-VEH-031,Hopper Tipper,3000,719.1,2280.9,22.932118,72.538697,DEP-GYASPUR,IDLE,CNG,23.8,synthetic
AMD-VEH-032,Refuse Collector,5000,4000.8,999.2,23.021684,72.671343,DEP-VASTRAL,ACTIVE,Diesel,20.2,synthetic
AMD-VEH-033,Mini Tipper,1000,69.1,930.9,23.018316,72.551537,DEP-VASNA,IDLE,Diesel,23.2,synthetic
AMD-VEH-034,Refuse Collector,7000,0.0,7000.0,22.988766,72.621776,DEP-PIRANA,OFF_DUTY,Diesel,23.5,synthetic
AMD-VEH-035,Mini Tipper,1000,570.6,429.4,23.008344,72.6495,DEP-VASTRAL,IDLE,Diesel,24.0,synthetic
AMD-VEH-036,Mini Tipper,2000,0.0,2000.0,23.010451,72.685804,DEP-VASTRAL,OFF_DUTY,Diesel,26.3,synthetic
AMD-VEH-037,Compactor Truck,7000,0.0,7000.0,22.987197,72.575358,DEP-PIRANA,MAINTENANCE,Diesel,18.0,synthetic
AMD-VEH-038,Refuse Collector,5000,3754.4,1245.6,23.071122,72.67227,DEP-NARODA,ACTIVE,Diesel,20.5,synthetic
AMD-VEH-039,Mini Tipper,1000,625.6,374.4,22.963348,72.553917,DEP-PIRANA,ACTIVE,Diesel,28.6,synthetic
AMD-VEH-040,Compactor Truck,5000,3390.1,1609.9,22.992857,72.641347,DEP-VASTRAL,ACTIVE,CNG,19.8,synthetic
AMD-VEH-041,Dumper Placer,5000,979.2,4020.8,22.992975,72.585733,DEP-PIRANA,IDLE,CNG,24.3,synthetic
AMD-VEH-042,Compactor Truck,10000,7022.1,2977.9,23.074585,72.622735,DEP-NARODA,ACTIVE,CNG,22.6,synthetic
AMD-VEH-043,Dumper Placer,5000,1249.8,3750.2,23.095598,72.554071,DEP-GOTA,ACTIVE,CNG,20.3,synthetic
AMD-VEH-044,Compactor Truck,5000,3090.7,1909.3,22.958936,72.57355,DEP-GYASPUR,ACTIVE,Diesel,19.9,synthetic
AMD-VEH-045,Mini Tipper,2000,727.3,1272.7,23.122915,72.556783,DEP-GOTA,ACTIVE,CNG,25.2,synthetic
AMD-VEH-046,Compactor Truck,10000,3524.6,6475.4,22.971165,72.569176,DEP-GYASPUR,ACTIVE,Diesel,21.9,synthetic
AMD-VEH-047,Mini Tipper,2000,180.1,1819.9,23.096981,72.539274,DEP-GOTA,ACTIVE,Diesel,28.9,synthetic
AMD-VEH-048,Refuse Collector,3000,68.2,2931.8,23.115601,72.542422,DEP-GOTA,ACTIVE,Diesel,21.0,synthetic
AMD-VEH-049,Compactor Truck,10000,6354.8,3645.2,23.032438,72.669753,DEP-VASTRAL,ACTIVE,CNG,14.9,synthetic
AMD-VEH-050,Mini Tipper,2000,1378.1,621.9,22.94896,72.531294,DEP-PIRANA,ACTIVE,Diesel,23.0,synthetic
AMD-VEH-051,Mini Tipper,1000,473.1,526.9,22.955446,72.558434,DEP-GYASPUR,ACTIVE,Diesel,28.2,synthetic
AMD-VEH-052,Compactor Truck,7000,1850.1,5149.9,22.986467,72.571981,DEP-GYASPUR,ACTIVE,Diesel,17.0,synthetic
AMD-VEH-053,Compactor Truck,10000,7334.5,2665.5,23.131715,72.536909,DEP-GOTA,IDLE,CNG,17.5,synthetic
AMD-VEH-054,Hopper Tipper,2000,0.0,2000.0,22.94167,72.55184,DEP-GYASPUR,OFF_DUTY,CNG,26.9,synthetic
AMD-VEH-055,Hopper Tipper,2000,0.0,2000.0,23.025318,72.564041,DEP-VASNA,OFF_DUTY,CNG,28.5,synthetic
AMD-VEH-056,Compactor Truck,10000,3755.7,6244.3,22.932856,72.574769,DEP-GYASPUR,ACTIVE,Diesel,13.7,synthetic
AMD-VEH-057,Dumper Placer,3000,1951.7,1048.3,22.972092,72.60491,DEP-PIRANA,ACTIVE,Diesel,23.1,synthetic
AMD-VEH-058,Refuse Collector,3000,2321.5,678.5,23.105159,72.547179,DEP-GOTA,IDLE,CNG,20.0,synthetic
AMD-VEH-059,Compactor Truck,7000,4344.2,2655.8,23.11673,72.531215,DEP-GOTA,IDLE,CNG,20.8,synthetic
AMD-VEH-060,Compactor Truck,5000,0.0,5000.0,23.031264,72.65163,DEP-VASTRAL,MAINTENANCE,Diesel,21.5,synthetic
AMD-VEH-061,Compactor Truck,5000,1563.5,3436.5,22.959428,72.592468,DEP-PIRANA,IDLE,Diesel,15.9,synthetic
AMD-VEH-062,Mini Tipper,1000,748.9,251.1,23.048173,72.656377,DEP-NARODA,ACTIVE,CNG,28.6,synthetic
AMD-VEH-063,Refuse Collector,7000,1515.7,5484.3,23.11482,72.544239,DEP-GOTA,ACTIVE,Diesel,20.6,synthetic
AMD-VEH-064,Mini Tipper,2000,1507.7,492.3,23.100984,72.671956,DEP-NARODA,IDLE,Diesel,26.9,synthetic
AMD-VEH-065,Hopper Tipper,3000,1535.2,1464.8,22.946267,72.557141,DEP-GYASPUR,ACTIVE,Electric,23.6,synthetic
AMD-VEH-066,Dumper Placer,5000,635.0,4365.0,22.953113,72.562748,DEP-GYASPUR,IDLE,Diesel,25.1,synthetic
AMD-VEH-067,Mini Tipper,2000,937.7,1062.3,22.960296,72.615966,DEP-PIRANA,ACTIVE,Electric,24.6,synthetic
AMD-VEH-068,Mini Tipper,2000,0.0,2000.0,23.018484,72.643987,DEP-VASTRAL,MAINTENANCE,CNG,25.4,synthetic
AMD-VEH-069,Hopper Tipper,3000,0.0,3000.0,22.964852,72.56781,DEP-PIRANA,OFF_DUTY,Diesel,21.7,synthetic
AMD-VEH-070,Hopper Tipper,3000,1710.5,1289.5,22.98926,72.680352,DEP-VASTRAL,IDLE,Diesel,20.6,synthetic
