bin_id,zone_id,zone_name,latitude,longitude,ward,bin_type,capacity_kg,capacity_liters,waste_stream,installation_date,collection_frequency,nearby_landmark,population_density,commercial_density,residential_density,market_area,sensitive_location,data_type
AMD-BIN-0013,AMD-Z-01,Navrangpura,23.034984,72.559825,Navrangpura Ward,Underground Bin,500,910,Organic,2020-01-11,daily,Mithakhali Six Roads,28328,76,57,0,1,synthetic
AMD-BIN-0014,AMD-Z-01,Navrangpura,23.039167,72.556549,Navrangpura Ward,Litter Bin,150,600,Dry,2022-09-26,alternate_day,Mithakhali Six Roads,29332,87,42,0,0,synthetic
AMD-BIN-0015,AMD-Z-01,Navrangpura,23.038176,72.559961,Navrangpura Ward,Skip Container,660,2640,Dry,2025-01-27,daily,Mithakhali Six Roads,22468,92,48,0,0,synthetic
AMD-BIN-0016,AMD-Z-01,Navrangpura,23.038344,72.555056,Navrangpura Ward,Community Bin,150,270,Organic,2024-05-05,daily,Sardar Patel Stadium Road,25657,83,43,0,0,synthetic
AMD-BIN-0017,AMD-Z-01,Navrangpura,23.042576,72.559546,Navrangpura Ward,Skip Container,660,1650,Mixed,2023-04-09,twice_daily,Law Garden Corner,29544,90,55,0,0,synthetic
AMD-BIN-0018,AMD-Z-01,Navrangpura,23.040012,72.562569,Navrangpura Ward,Community Bin,150,600,Dry,2022-12-13,twice_daily,Sardar Patel Stadium Road,29181,99,48,0,0,synthetic
AMD-BIN-0019,AMD-Z-01,Navrangpura,23.038872,72.554547,Navrangpura Ward,Community Bin,240,960,Dry,2024-12-31,daily,Navrangpura Bus Stand,32942,100,48,0,0,synthetic
AMD-BIN-0020,AMD-Z-01,Navrangpura,23.034956,72.566432,Navrangpura Ward,Community Bin,500,1430,Commercial,2022-01-26,daily,Sardar Patel Stadium Road,30324,88,56,0,0,synthetic
AMD-BIN-0021,AMD-Z-01,Navrangpura,23.042623,72.5632,Navrangpura Ward,Community Bin,150,430,Commercial,2019-02-05,twice_daily,Sardar Patel Stadium Road,27989,93,56,0,1,synthetic
AMD-BIN-0022,AMD-Z-01,Navrangpura,23.045537,72.560199,Navrangpura Ward,Community Bin,500,910,Organic,2019-05-28,twice_daily,Navrangpura Bus Stand,32964,91,54,0,1,synthetic
AMD-BIN-0023,AMD-Z-01,Navrangpura,23.037954,72.56085,Navrangpura Ward,Skip Container,240,960,Dry,2021-08-09,twice_daily,Mithakhali Six Roads,26438,89,45,0,1,synthetic
AMD-BIN-0024,AMD-Z-02,Vastrapur,23.038156,72.528753,Vastrapur Ward,Community Bin,500,2000,Dry,2021-01-30,daily,Vastrapur Garden,23382,65,60,1,0,synthetic
AMD-BIN-0025,AMD-Z-02,Vastrapur,23.036987,72.52377,Vastrapur Ward,Compactor Bin,660,1890,Commercial,2024-08-05,alternate_day,Mansi Circle,24298,64,66,0,0,synthetic
AMD-BIN-0026,AMD-Z-02,Vastrapur,23.039214,72.529226,Vastrapur Ward,Twin Bin Set,150,270,Organic,2022-11-28,daily,Vastrapur Garden,25352,75,77,0,0,synthetic
AMD-BIN-0027,AMD-Z-02,Vastrapur,23.031593,72.534913,Vastrapur Ward,Twin Bin Set,500,1250,Mixed,2023-09-27,daily,Vastrapur Lake Gate 2,19815,74,67,0,0,synthetic
AMD-BIN-0028,AMD-Z-02,Vastrapur,23.035332,72.529628,Vastrapur Ward,Community Bin,240,600,Mixed,2019-06-26,twice_daily,IIM Ahmedabad Road,20324,77,58,0,0,synthetic
AMD-BIN-0029,AMD-Z-02,Vastrapur,23.043101,72.527224,Vastrapur Ward,Skip Container,500,1250,Mixed,2024-09-16,daily,Mansi Circle,22537,79,66,0,1,synthetic
AMD-BIN-0030,AMD-Z-02,Vastrapur,23.031688,72.525753,Vastrapur Ward,Community Bin,660,3000,Recyclable,2021-08-06,daily,Alpha One Mall Service Road,21107,70,71,0,0,synthetic
AMD-BIN-0031,AMD-Z-02,Vastrapur,23.030835,72.526218,Vastrapur Ward,Community Bin,240,690,Commercial,2021-09-25,daily,IIM Ahmedabad Road,22578,71,66,0,0,synthetic
AMD-BIN-0032,AMD-Z-02,Vastrapur,23.036235,72.532364,Vastrapur Ward,Community Bin,240,960,Dry,2021-05-30,daily,Vastrapur Garden,22492,77,70,0,0,synthetic
AMD-BIN-0033,AMD-Z-02,Vastrapur,23.036898,72.534892,Vastrapur Ward,Community Bin,240,600,Mixed,2019-03-11,alternate_day,Alpha One Mall Service Road,26041,74,66,0,0,synthetic
AMD-BIN-0034,AMD-Z-02,Vastrapur,23.034486,72.529394,Vastrapur Ward,Litter Bin,150,680,Recyclable,2022-04-23,daily,IIM Ahmedabad Road,23279,75,84,0,0,synthetic
AMD-BIN-0035,AMD-Z-02,Vastrapur,23.036581,72.529481,Vastrapur Ward,Skip Container,240,600,Mixed,2019-04-19,alternate_day,IIM Ahmedabad Road,21916,78,64,0,0,synthetic
AMD-BIN-0036,AMD-Z-02,Vastrapur,23.03469,72.529781,Vastrapur Ward,Community Bin,240,600,Mixed,2025-04-14,daily,Mansi Circle,23204,63,74,0,0,synthetic
AMD-BIN-0037,AMD-Z-02,Vastrapur,23.03538,72.528647,Vastrapur Ward,Skip Container,240,600,Mixed,2021-12-27,daily,IIM Ahmedabad Road,24982,78,72,0,0,synthetic
AMD-BIN-0038,AMD-Z-02,Vastrapur,23.034375,72.529888,Vastrapur Ward,Twin Bin Set,500,2000,Dry,2023-03-17,daily,Vastrapur Garden,23969,70,61,0,0,synthetic
AMD-BIN-0039,AMD-Z-02,Vastrapur,23.038835,72.533145,Vastrapur Ward,Twin Bin Set,150,380,Mixed,2019-03-10,alternate_day,Vastrapur Lake Gate 2,24655,74,61,0,0,synthetic
AMD-BIN-0040,AMD-Z-02,Vastrapur,23.042605,72.529964,Vastrapur Ward,Community Bin,240,600,Mixed,2022-08-03,daily,IIM Ahmedabad Road,23993,52,70,0,0,synthetic
AMD-BIN-0041,AMD-Z-02,Vastrapur,23.031845,72.531484,Vastrapur Ward,Compactor Bin,1000,2860,Commercial,2024-01-24,daily,Alpha One Mall Service Road,24618,77,65,0,0,synthetic
AMD-BIN-0042,AMD-Z-02,Vastrapur,23.035778,72.531906,Vastrapur Ward,Community Bin,500,2270,Recyclable,2021-07-12,alternate_day,Alpha One Mall Service Road,20451,71,65,1,0,synthetic
AMD-BIN-0043,AMD-Z-02,Vastrapur,23.039616,72.528929,Vastrapur Ward,Skip Container,1000,2860,Commercial,2019-07-19,daily,Vastrapur Lake Gate 2,26388,80,70,0,0,synthetic
AMD-BIN-0044,AMD-Z-02,Vastrapur,23.038218,72.523322,Vastrapur Ward,Litter Bin,150,270,Organic,2021-01-22,daily,Alpha One Mall Service Road,21055,69,73,0,1,synthetic
AMD-BIN-0045,AMD-Z-03,Satellite,23.02519,72.514641,Satellite Ward,Underground Bin,240,1090,Recyclable,2020-06-19,twice_daily,Shyamal Cross Road,27134,80,67,0,0,synthetic
AMD-BIN-0046,AMD-Z-03,Satellite,23.023895,72.513461,Satellite Ward,Community Bin,150,680,Recyclable,2025-02-04,twice_daily,Shivranjani Cross Road,26812,76,64,0,1,synthetic
AMD-BIN-0047,AMD-Z-03,Satellite,23.029405,72.509974,Satellite Ward,Community Bin,500,1430,Commercial,2019-06-13,daily,Shivranjani Cross Road,24107,82,56,0,0,synthetic
AMD-BIN-0048,AMD-Z-03,Satellite,23.033649,72.51714,Satellite Ward,Underground Bin,240,600,Mixed,2024-07-27,twice_daily,Shivranjani Cross Road,24338,79,67,0,0,synthetic
AMD-BIN-0049,AMD-Z-03,Satellite,23.031519,72.506975,Satellite Ward,Skip Container,1000,2860,Commercial,2023-01-29,daily,Shyamal Cross Road,26073,80,74,1,0,synthetic
AMD-BIN-0050,AMD-Z-03,Satellite,23.037288,72.512111,Satellite Ward,Twin Bin Set,500,2000,Dry,2024-12-11,daily,Shyamal Cross Road,28232,75,65,0,0,synthetic
AMD-BIN-0051,AMD-Z-03,Satellite,23.035549,72.51272,Satellite Ward,Skip Container,1000,4000,Dry,2023-03-26,daily,Satellite Police Station,33406,79,57,0,0,synthetic
AMD-BIN-0052,AMD-Z-03,Satellite,23.032773,72.505646,Satellite Ward,Skip Container,660,3000,Recyclable,2021-11-29,daily,Shivranjani Cross Road,22144,72,63,0,0,synthetic
AMD-BIN-0053,AMD-Z-03,Satellite,23.026872,72.50129,Satellite Ward,Litter Bin,150,270,Organic,2022-10-24,twice_daily,Shyamal Cross Road,28096,72,39,0,0,synthetic
AMD-BIN-0054,AMD-Z-03,Satellite,23.028282,72.507815,Satellite Ward,Twin Bin Set,500,2000,Dry,2024-02-20,daily,Satellite Police Station,28769,83,66,0,0,synthetic
AMD-BIN-0055,AMD-Z-03,Satellite,23.02422,72.509766,Satellite Ward,Twin Bin Set,500,2000,Dry,2024-11-28,daily,Ramdev Nagar Circle,25556,82,62,0,0,synthetic
AMD-BIN-0056,AMD-Z-03,Satellite,23.032223,72.510791,Satellite Ward,Twin Bin Set,150,600,Dry,2023-08-27,twice_daily,Satellite Police Station,28559,72,61,0,0,synthetic
AMD-BIN-0057,AMD-Z-03,Satellite,23.03344,72.509059,Satellite Ward,Community Bin,500,910,Organic,2023-03-27,twice_daily,Satellite Police Station,28699,80,71,0,0,synthetic
AMD-BIN-0058,AMD-Z-03,Satellite,23.03276,72.515579,Satellite Ward,Skip Container,660,3000,Recyclable,2022-07-11,daily,Jodhpur Char Rasta,26013,82,65,0,0,synthetic
AMD-BIN-0059,AMD-Z-03,Satellite,23.024601,72.514793,Satellite Ward,Community Bin,500,1430,Commercial,2021-06-20,daily,Ramdev Nagar Circle,29027,83,64,0,0,synthetic
AMD-BIN-0060,AMD-Z-03,Satellite,23.032084,72.508074,Satellite Ward,Community Bin,500,2000,Dry,2022-02-15,alternate_day,Jodhpur Char Rasta,28549,81,61,0,0,synthetic
AMD-BIN-0061,AMD-Z-03,Satellite,23.027058,72.504581,Satellite Ward,Community Bin,500,1250,Mixed,2022-10-15,alternate_day,Shyamal Cross Road,26808,81,64,0,0,synthetic
AMD-BIN-0062,AMD-Z-03,Satellite,23.034603,72.508607,Satellite Ward,Community Bin,500,2000,Dry,2020-03-19,daily,Satellite Police Station,27844,80,64,0,0,synthetic
AMD-BIN-0063,AMD-Z-03,Satellite,23.030706,72.508799,Satellite Ward,Community Bin,500,2270,Recyclable,2022-03-31,twice_daily,Jodhpur Char Rasta,26731,83,71,0,0,synthetic
AMD-BIN-0064,AMD-Z-03,Satellite,23.031223,72.509595,Satellite Ward,Twin Bin Set,500,2000,Dry,2019-02-07,daily,Shyamal Cross Road,26892,78,65,0,0,synthetic
AMD-BIN-0065,AMD-Z-03,Satellite,23.031432,72.512755,Satellite Ward,Community Bin,240,600,Mixed,2021-04-27,twice_daily,Shyamal Cross Road,26163,83,63,0,1,synthetic
AMD-BIN-0066,AMD-Z-03,Satellite,23.028541,72.510287,Satellite Ward,Litter Bin,150,430,Commercial,2021-11-03,daily,Shyamal Cross Road,21478,85,62,0,0,synthetic
AMD-BIN-0067,AMD-Z-03,Satellite,23.029576,72.507227,Satellite Ward,Skip Container,500,2000,Dry,2019-12-03,twice_daily,Jodhpur Char Rasta,28947,84,62,1,0,synthetic
AMD-BIN-0068,AMD-Z-04,Bodakdev,23.041939,72.508089,Bodakdev Ward,Skip Container,240,600,Mixed,2020-12-06,daily,Bodakdev Garden,23076,77,64,0,0,synthetic
AMD-BIN-0069,AMD-Z-04,Bodakdev,23.040156,72.51003,Bodakdev Ward,Skip Container,240,960,Dry,2022-03-18,daily,Rajpath Club Road,23374,82,54,0,0,synthetic
AMD-BIN-0070,AMD-Z-04,Bodakdev,23.039372,72.507488,Bodakdev Ward,Community Bin,240,960,Dry,2025-07-01,twice_daily,Bodakdev Garden,22581,87,53,0,0,synthetic
AMD-BIN-0071,AMD-Z-04,Bodakdev,23.039386,72.507995,Bodakdev Ward,Litter Bin,150,430,Commercial,2021-12-27,twice_daily,Sindhu Bhavan Road,20185,73,57,0,0,synthetic
AMD-BIN-0072,AMD-Z-04,Bodakdev,23.039417,72.509096,Bodakdev Ward,Twin Bin Set,150,380,Mixed,2020-03-14,daily,Sindhu Bhavan Road,25260,76,55,0,0,synthetic
AMD-BIN-0073,AMD-Z-04,Bodakdev,23.041801,72.506989,Bodakdev Ward,Community Bin,240,600,Mixed,2025-04-18,twice_daily,Sindhu Bhavan Road,22260,75,61,0,0,synthetic
AMD-BIN-0074,AMD-Z-04,Bodakdev,23.034141,72.513672,Bodakdev Ward,Community Bin,150,270,Organic,2021-06-18,twice_daily,Rajpath Club Road,21783,80,65,0,0,synthetic
AMD-BIN-0075,AMD-Z-04,Bodakdev,23.039362,72.507224,Bodakdev Ward,Skip Container,660,1890,Commercial,2021-11-19,daily,Sindhu Bhavan Road,18802,63,57,0,1,synthetic
AMD-BIN-0076,AMD-Z-04,Bodakdev,23.038735,72.51539,Bodakdev Ward,Twin Bin Set,240,1090,Recyclable,2019-09-12,daily,Sindhu Bhavan Road,25336,80,59,0,1,synthetic
AMD-BIN-0077,AMD-Z-04,Bodakdev,23.036113,72.507385,Bodakdev Ward,Twin Bin Set,500,1250,Mixed,2019-05-24,twice_daily,Pakwan Cross Road,21758,84,62,0,0,synthetic
AMD-BIN-0078,AMD-Z-04,Bodakdev,23.044372,72.506898,Bodakdev Ward,Community Bin,240,960,Dry,2023-08-05,daily,Rajpath Club Road,18433,86,67,0,0,synthetic
AMD-BIN-0079,AMD-Z-04,Bodakdev,23.039913,72.51346,Bodakdev Ward,Community Bin,500,1430,Commercial,2022-05-08,twice_daily,Sindhu Bhavan Road,23804,73,67,0,0,synthetic
AMD-BIN-0080,AMD-Z-04,Bodakdev,23.048224,72.504172,Bodakdev Ward,Skip Container,1000,4000,Dry,2021-07-05,twice_daily,Rajpath Club Road,18812,67,63,0,0,synthetic
AMD-BIN-0081,AMD-Z-04,Bodakdev,23.037506,72.512462,Bodakdev Ward,Compactor Bin,660,3000,Recyclable,2020-11-10,alternate_day,Sindhu Bhavan Road,21164,80,55,1,0,synthetic
AMD-BIN-0082,AMD-Z-04,Bodakdev,23.041789,72.51142,Bodakdev Ward,Skip Container,1000,1820,Organic,2022-04-23,daily,Thaltej Cross Road,20663,74,74,0,0,synthetic
AMD-BIN-0083,AMD-Z-04,Bodakdev,23.03774,72.508543,Bodakdev Ward,Twin Bin Set,500,1250,Mixed,2020-01-17,twice_daily,Rajpath Club Road,22605,74,63,0,0,synthetic
AMD-BIN-0084,AMD-Z-04,Bodakdev,23.039368,72.511331,Bodakdev Ward,Community Bin,240,600,Mixed,2021-03-26,twice_daily,Pakwan Cross Road,23378,73,68,0,0,synthetic
AMD-BIN-0085,AMD-Z-04,Bodakdev,23.036712,72.508388,Bodakdev Ward,Skip Container,660,1890,Commercial,2021-09-07,daily,Bodakdev Garden,23835,76,63,0,0,synthetic
AMD-BIN-0086,AMD-Z-04,Bodakdev,23.043382,72.508301,Bodakdev Ward,Twin Bin Set,150,430,Commercial,2025-06-24,alternate_day,Bodakdev Garden,18322,72,50,1,0,synthetic
AMD-BIN-0087,AMD-Z-05,Prahlad Nagar,23.015621,72.507954,Prahlad Nagar Ward,Community Bin,240,960,Dry,2022-02-21,alternate_day,Venus Atlantis Road,20082,90,63,0,0,synthetic
AMD-BIN-0088,AMD-Z-05,Prahlad Nagar,23.008963,72.50618,Prahlad Nagar Ward,Community Bin,500,1250,Mixed,2023-06-18,daily,Auda Garden Gate,26696,76,51,0,0,synthetic
AMD-BIN-0089,AMD-Z-05,Prahlad Nagar,23.00292,72.510904,Prahlad Nagar Ward,Community Bin,150,680,Recyclable,2019-04-21,daily,Anandnagar Cross Road,20981,86,68,0,0,synthetic
AMD-BIN-0090,AMD-Z-05,Prahlad Nagar,23.006766,72.507315,Prahlad Nagar Ward,Skip Container,240,690,Commercial,2023-02-21,twice_daily,Auda Garden Gate,21344,87,56,0,0,synthetic
AMD-BIN-0091,AMD-Z-05,Prahlad Nagar,23.008179,72.501712,Prahlad Nagar Ward,Community Bin,150,430,Commercial,2023-08-31,twice_daily,Auda Garden Gate,24268,85,55,0,0,synthetic
AMD-BIN-0092,AMD-Z-05,Prahlad Nagar,23.006649,72.508906,Prahlad Nagar Ward,Community Bin,150,380,Mixed,2023-01-27,daily,Anandnagar Cross Road,23337,100,52,0,0,synthetic
AMD-BIN-0093,AMD-Z-05,Prahlad Nagar,23.007511,72.502832,Prahlad Nagar Ward,Community Bin,150,380,Mixed,2020-06-09,twice_daily,Auda Garden Gate,24143,96,75,1,0,synthetic
AMD-BIN-0094,AMD-Z-05,Prahlad Nagar,23.009685,72.500886,Prahlad Nagar Ward,Twin Bin Set,500,1430,Commercial,2020-01-06,daily,Venus Atlantis Road,24203,88,47,0,0,synthetic
AMD-BIN-0095,AMD-Z-05,Prahlad Nagar,23.005759,72.505753,Prahlad Nagar Ward,Skip Container,1000,2860,Commercial,2024-06-02,alternate_day,Satyamev Complex,26918,71,66,0,0,synthetic
AMD-BIN-0096,AMD-Z-05,Prahlad Nagar,23.010149,72.515898,Prahlad Nagar Ward,Community Bin,660,1650,Mixed,2024-10-16,daily,Anandnagar Cross Road,27140,86,54,1,0,synthetic
AMD-BIN-0097,AMD-Z-05,Prahlad Nagar,23.011535,72.502198,Prahlad Nagar Ward,Skip Container,500,1430,Commercial,2025-02-27,daily,Anandnagar Cross Road,26835,81,56,0,0,synthetic
AMD-BIN-0098,AMD-Z-05,Prahlad Nagar,23.009745,72.507757,Prahlad Nagar Ward,Community Bin,500,1430,Commercial,2024-12-22,twice_daily,Auda Garden Gate,22373,89,57,0,0,synthetic
AMD-BIN-0099,AMD-Z-05,Prahlad Nagar,23.015984,72.508432,Prahlad Nagar Ward,Twin Bin Set,150,600,Dry,2019-03-19,daily,Auda Garden Gate,23285,88,56,0,0,synthetic
AMD-BIN-0100,AMD-Z-05,Prahlad Nagar,23.013995,72.50009,Prahlad Nagar Ward,Community Bin,500,1250,Mixed,2021-09-26,alternate_day,Venus Atlantis Road,23674,81,54,0,0,synthetic
AMD-BIN-0101,AMD-Z-05,Prahlad Nagar,23.011373,72.507526,Prahlad Nagar Ward,Twin Bin Set,240,690,Commercial,2019-07-06,daily,Prahlad Nagar Garden,23516,78,63,0,0,synthetic
AMD-BIN-0102,AMD-Z-05,Prahlad Nagar,23.008247,72.507517,Prahlad Nagar Ward,Community Bin,500,1430,Commercial,2025-05-21,daily,Auda Garden Gate,20708,100,54,0,0,synthetic
AMD-BIN-0103,AMD-Z-05,Prahlad Nagar,23.006594,72.503296,Prahlad Nagar Ward,Twin Bin Set,500,1430,Commercial,2022-07-01,alternate_day,Prahlad Nagar Garden,22469,75,47,0,0,synthetic
AMD-BIN-0104,AMD-Z-05,Prahlad Nagar,23.00664,72.511063,Prahlad Nagar Ward,Compactor Bin,660,1650,Mixed,2025-02-17,twice_daily,Auda Garden Gate,22577,85,53,0,0,synthetic
AMD-BIN-0105,AMD-Z-05,Prahlad Nagar,23.008236,72.513641,Prahlad Nagar Ward,Twin Bin Set,240,960,Dry,2019-07-09,daily,Auda Garden Gate,22486,81,55,1,0,synthetic
AMD-BIN-0106,AMD-Z-06,Thaltej,23.051421,72.503861,Thaltej Ward,Twin Bin Set,50,90,Organic,2019-10-11,daily,Thaltej Gam Chowk,17449,52,76,0,0,synthetic
AMD-BIN-0107,AMD-Z-06,Thaltej,23.048786,72.506073,Thaltej Ward,Twin Bin Set,150,270,Organic,2021-11-20,daily,Thaltej Metro Station,22681,52,74,0,0,synthetic
AMD-BIN-0108,AMD-Z-06,Thaltej,23.050433,72.506748,Thaltej Ward,Litter Bin,50,90,Organic,2022-09-22,daily,Thaltej Gam Chowk,18792,51,81,0,0,synthetic
AMD-BIN-0109,AMD-Z-06,Thaltej,23.04975,72.505558,Thaltej Ward,Community Bin,150,380,Mixed,2023-02-16,daily,Thaltej Metro Station,18104,52,85,0,0,synthetic
AMD-BIN-0110,AMD-Z-06,Thaltej,23.052119,72.50267,Thaltej Ward,Twin Bin Set,150,270,Organic,2023-03-23,daily,Zydus Hospital Road,23236,64,80,0,0,synthetic
AMD-BIN-0111,AMD-Z-06,Thaltej,23.048976,72.509659,Thaltej Ward,Community Bin,240,440,Organic,2019-02-06,alternate_day,Drive In Road Junction,17312,55,77,0,0,synthetic
AMD-BIN-0112,AMD-Z-06,Thaltej,23.050987,72.505795,Thaltej Ward,Litter Bin,150,270,Organic,2022-05-04,alternate_day,Thaltej Gam Chowk,19316,57,78,0,0,synthetic
AMD-BIN-0113,AMD-Z-06,Thaltej,23.048787,72.509422,Thaltej Ward,Twin Bin Set,50,120,Mixed,2021-10-20,daily,Kargil Petrol Pump,18224,60,72,0,0,synthetic
AMD-BIN-0114,AMD-Z-06,Thaltej,23.048877,72.501612,Thaltej Ward,Community Bin,100,180,Organic,2019-11-12,twice_daily,Thaltej Metro Station,22275,53,78,0,0,synthetic
AMD-BIN-0115,AMD-Z-06,Thaltej,23.047845,72.505831,Thaltej Ward,Litter Bin,150,380,Mixed,2021-03-23,daily,Kargil Petrol Pump,21085,54,79,0,0,synthetic
AMD-BIN-0116,AMD-Z-06,Thaltej,23.049521,72.504001,Thaltej Ward,Twin Bin Set,150,380,Mixed,2020-12-19,daily,Drive In Road Junction,20384,62,69,0,0,synthetic
AMD-BIN-0117,AMD-Z-06,Thaltej,23.051302,72.509765,Thaltej Ward,Twin Bin Set,150,270,Organic,2020-08-04,twice_daily,Drive In Road Junction,20297,59,78,0,0,synthetic
AMD-BIN-0118,AMD-Z-06,Thaltej,23.055474,72.503198,Thaltej Ward,Litter Bin,50,90,Organic,2020-12-16,alternate_day,Zydus Hospital Road,22146,55,76,0,0,synthetic
AMD-BIN-0119,AMD-Z-06,Thaltej,23.047735,72.512408,Thaltej Ward,Litter Bin,50,90,Organic,2020-02-25,alternate_day,Thaltej Metro Station,18069,63,76,0,0,synthetic
AMD-BIN-0120,AMD-Z-06,Thaltej,23.049717,72.508149,Thaltej Ward,Litter Bin,50,120,Mixed,2025-06-12,daily,Thaltej Gam Chowk,21511,53,75,0,1,synthetic
AMD-BIN-0121,AMD-Z-06,Thaltej,23.04557,72.50506,Thaltej Ward,Litter Bin,100,290,Commercial,2019-08-03,daily,Drive In Road Junction,19403,48,86,0,1,synthetic
AMD-BIN-0122,AMD-Z-06,Thaltej,23.055331,72.507394,Thaltej Ward,Litter Bin,150,600,Dry,2023-08-31,alternate_day,Zydus Hospital Road,16338,55,83,0,0,synthetic
AMD-BIN-0123,AMD-Z-06,Thaltej,23.047493,72.501419,Thaltej Ward,Skip Container,240,960,Dry,2024-05-17,daily,Zydus Hospital Road,18936,54,74,0,0,synthetic
AMD-BIN-0124,AMD-Z-07,Bopal,23.026313,72.471907,Bopal Ward,Litter Bin,100,180,Organic,2023-01-15,daily,Bopal Cross Road,14973,40,83,0,0,synthetic
AMD-BIN-0125,AMD-Z-07,Bopal,23.029968,72.474078,Bopal Ward,Litter Bin,150,380,Mixed,2020-05-31,daily,South Bopal Circle,19084,30,87,0,0,synthetic
AMD-BIN-0126,AMD-Z-07,Bopal,23.023628,72.474809,Bopal Ward,Community Bin,500,2000,Dry,2019-06-10,daily,Shela Road Junction,21486,38,84,0,0,synthetic
AMD-BIN-0127,AMD-Z-07,Bopal,23.035233,72.470525,Bopal Ward,Community Bin,240,960,Dry,2025-05-01,daily,South Bopal Circle,17379,45,69,0,1,synthetic
AMD-BIN-0128,AMD-Z-07,Bopal,23.025665,72.466295,Bopal Ward,Twin Bin Set,50,120,Mixed,2021-05-04,daily,South Bopal Circle,21945,54,83,0,0,synthetic
AMD-BIN-0129,AMD-Z-07,Bopal,23.031663,72.468537,Bopal Ward,Litter Bin,50,120,Mixed,2023-04-28,daily,Shela Road Junction,17030,44,76,0,0,synthetic
AMD-BIN-0130,AMD-Z-07,Bopal,23.03245,72.472583,Bopal Ward,Community Bin,150,680,Recyclable,2024-05-06,daily,Bopal Gam Panchayat,17342,45,78,0,0,synthetic
AMD-BIN-0131,AMD-Z-07,Bopal,23.02698,72.467352,Bopal Ward,Community Bin,500,910,Organic,2019-03-18,daily,Aashray Society Gate,17808,53,75,0,0,synthetic
AMD-BIN-0132,AMD-Z-07,Bopal,23.029909,72.47654,Bopal Ward,Litter Bin,50,120,Mixed,2020-05-06,twice_daily,South Bopal Circle,16380,41,84,0,0,synthetic
AMD-BIN-0133,AMD-Z-07,Bopal,23.028835,72.473579,Bopal Ward,Community Bin,240,440,Organic,2021-04-08,daily,South Bopal Circle,17714,49,73,0,0,synthetic
AMD-BIN-0134,AMD-Z-07,Bopal,23.029887,72.465564,Bopal Ward,Skip Container,500,1250,Mixed,2019-12-18,alternate_day,Bopal Gam Panchayat,22200,43,93,0,0,synthetic
AMD-BIN-0135,AMD-Z-07,Bopal,23.030986,72.474096,Bopal Ward,Skip Container,500,2000,Dry,2020-05-06,daily,Bopal Gam Panchayat,16903,37,80,0,1,synthetic
AMD-BIN-0136,AMD-Z-07,Bopal,23.028828,72.470821,Bopal Ward,Twin Bin Set,100,180,Organic,2019-03-26,twice_daily,Aashray Society Gate,18431,41,81,0,0,synthetic
